day_type,1,2,3,4,5,6,7,8,9,10,11,12
Holiday,1012266.0,1017441.4186046511,961512.2666666667,810026.2,943236.9629629629,836538.0833333334,507631.5,851847.75,981325.5416666666,783379.6666666666,725003.5,951526.828125
Normal,933342.1970802919,899889.2040816327,983731.3451327434,960109.350515464,977439.8604651163,1035624.5925925926,1072632.8532110092,1091886.5858585858,1046144.048192771,1096650.7247706421,1122915.4795918367,1266906.2173913044
Weekend,595302.1764705882,534786.9736842106,625824.4390243902,623788.0256410256,676337.625,716016.2333333333,687515.125,738161.6857142857,653325.4444444445,730023.2195121951,761665.3157894737,898978.3333333334
Weekend+Holiday,717412.6666666666,788994.4210526316,678419.947368421,645827.75,649328.9,671291.4,764317.5,642640.5555555555,763155.6875,490609.5,533605.8333333334,732010.3333333334
