mode,total,daily_avg
Bus RKL,282871417.0,182380.02385557705
Bus RPN,63833804.0,41156.5467440361
LRT Ampang,326155816.0,163650.68539889614
MRT Kajang,389488251.0,195428.1239337682
LRT Kelana Jaya,438856400.0,220198.89613647768
Monorail,90429568.0,45373.59157049674
MRT PJY,151387277.0,109304.89314079423
