Service,Num_Stops,Num_Routes,Num_Trips,Num_Calendar
Rapid Bus Penang,1925,47,5976,3
Rapid Bus KL,3698,124,2042,2
Monorail,167,7,42,8
MRT Putrajaya,167,7,42,8
MRT Kajang,167,7,42,8
LRT Kelana Jaya,167,7,42,8
LRT Ampang,167,7,42,8
ETS,191,9,304,5
Intercity,191,9,304,5
Komuter,191,9,304,5
Komuter Utara,191,9,304,5
Komuter Terbau,191,9,304,5
