Category,Grid_Cells,Mean_Density_per_km2,Median_Density_per_km2,Has_Transit_Count,Transit_Coverage_Pct
Transit-Served,14714,1224.1156615883363,247.75001525878906,14714,100.0
Unserved,376775,63.07476376197977,11.119675636291504,0,0.0
Low Density (Q0-Q25),97873,1.439246652303327,1.365533709526062,192,0.19617259101079973
High Density (Q75-Q100),97872,397.6092379277918,85.31951522827148,11627,11.879802190616315
