source,mean,median,std,count
gtfs_ktmb,6001.749488358185,2401.4965032793566,7641.929750805708,191
gtfs_rapid_bus_kl,1199.6557767340264,897.7483395474017,1238.0302525893894,3698
gtfs_rapid_rail_kl,827.8439178320388,669.6470631792948,631.9641478959011,167
