date,rainfall_mm,anomaly_rf,anomaly_1mo,rainfall_change,anomaly_change
2019-01-01,67.37562466666667,95.76106306666667,97.88206006666665,,
2019-01-11,56.83883393333334,85.59556673333333,85.83049106666667,-15.638876500905063,-10.615479828431262
2019-01-21,47.6427271,64.19721013333334,81.99249053333332,-16.179267231483873,-24.999374870272185
2019-02-01,29.454333013333333,69.4697978,70.80199893333334,-38.17664351683736,8.213110282698954
2019-02-11,57.609669133333334,120.18947906666666,79.26896113333333,95.58979355348056,73.0096860403798
2019-02-21,10.773596713333335,31.47721773333333,72.1536732,-81.29897832185316,-73.81033849404277
2019-03-01,19.33453902666667,39.655120200000006,59.94627666666667,79.46224961937145,25.98038535663383
2019-03-11,17.30678268666667,33.58634313333333,30.452609866666666,-10.487740810387402,-15.303892753467618
2019-03-21,58.84719046666667,70.0766376,48.59445853333333,240.0238596166298,108.64622659812962
2019-04-01,57.1692954,83.12859580000001,62.528225066666664,-2.8512747224815893,18.62526320754867
2019-04-11,51.20240793333333,75.48126686666666,74.36874086666667,-10.437224081419538,-9.199396260382098
2019-04-21,69.861077,86.81498293333334,80.999258,36.440999202538805,15.015270062553455
2019-05-01,69.90823006666666,94.28855186666667,85.55460526666667,0.06749547629600894,8.608616486249154
2019-05-11,88.4018942,115.61560066666667,98.67677846666668,26.454201623610274,22.618916483263575
2019-05-21,85.8049482,107.4119092,105.37022893333332,-2.937658772474583,-7.09566132888837
2019-06-01,110.78049460000001,167.96829686666666,129.86656506666665,29.107349778692626,56.37772209589089
2019-06-11,59.1428946,106.08976426666666,128.4667986,-46.612537871806914,-36.83941181419444
2019-06-21,69.17006446666666,124.97302733333332,137.05033540000002,16.95414121084744,17.79932606806609
2019-07-01,43.775107000000006,72.896371,100.44909766666666,-36.71379759795451,-41.67031674317392
2019-07-11,53.25671286666667,87.22982833333334,93.75931820000001,21.659811971828336,19.66278586533936
2019-07-21,54.43215466666666,75.7432922,77.18191866666666,2.2071242041220795,-13.168128784387356
2019-08-01,48.226303,74.5484478,77.3950808,-11.401076633233153,-1.5774920330172693
2019-08-11,54.66370546666667,77.3627528,74.12324893333333,13.348322525711055,3.775135610536462
2019-08-21,68.83164400000001,74.72750653333333,74.1529004,25.918364685271467,-3.4063501766533166
2019-09-01,56.290426933333336,71.05602093333333,73.0896846,-18.220132976435476,-4.913164871040188
2019-09-11,66.17722813333333,78.03809433333335,73.6193996,17.56391226470757,9.826153094824708
2019-09-21,60.8673576,74.99770266666665,73.59998546666667,-8.023712511250924,-3.8960352538593646
2019-10-01,101.93995513333333,103.44544286666665,86.02457553333333,67.4788575565392,37.931482150111016
2019-10-11,109.19370206666666,108.9887534,96.97274393333333,7.11570544036999,5.358680266348936
2019-10-21,119.54354986666667,100.54716400000001,104.62254346666667,9.478429253805377,-7.745376597728826
2019-11-01,93.6078078,84.1527158,98.12320473333332,-21.695643215877546,-16.30523184124817
2019-11-11,83.07371459999999,78.26947566666666,87.79266293333333,-11.253434352940817,-6.991147079929805
2019-11-21,114.24392313333333,99.66112506666667,87.03246399999999,37.521144544237515,27.330768754734702
2019-12-01,101.50501639999999,88.15731513333334,87.82145573333334,-11.150620868005245,-11.54292601617536
2019-12-11,135.64142180000002,126.21306253333334,102.6347444,33.63026440533636,43.16799728127232
2019-12-21,40.47771099333333,39.41815110666666,82.72604446666666,-70.15829644353276,-68.76856458795129
2020-01-01,29.856096726666667,37.556507133333334,68.77797226666667,-26.240649498228898,-4.7228089625402925
2020-01-11,39.676310799999996,58.71882446666667,40.836924266666664,32.891821604269445,56.34793794375699
2020-01-21,36.7673426,56.9497006,47.337891733333336,-7.331750713072838,-3.012873440051511
2020-02-01,53.593691,129.83551706666668,71.28819506666667,45.764385484851445,127.98279130314984
2020-02-11,76.4905098,162.80543733333334,106.98860733333332,42.72297423963578,25.393606473441
2020-02-21,7.86938056,26.1316892,108.04305926666666,-89.71195174332594,-83.94912993814998
2020-03-01,42.90561353333333,77.38093513333334,88.24018973333334,445.22224724296893,196.1191469142888
2020-03-11,27.614459933333332,49.07947286666667,49.276323733333335,-35.63905125868976,-36.5742055428783
