metric,value,service_weekday_share,service_weekend_share,gap
Weekday ridership (normal),1010765.361208714,10.076664891088315,35.919448883390324,78912.02261111443
Weekend ridership (normal),680360.2631578947,10.076664891088315,35.919448883390324,-251493.07543970481
Holiday ridership,856099.0829268292,10.076664891088315,35.919448883390324,-75754.2556707703
Normal day ridership,931853.3385975995,10.076664891088315,35.919448883390324,0.0
