quintile,mean_density,pop_count,mean_poi_count,median_poi_count,std_poi_count
Q1 (Lowest),1.1246907674182427,78298,2880.0,2880.0,0.0
Q2,4.404966243485898,78298,2880.0,2880.0,0.0
Q3,12.137731047479434,78297,2880.0,2880.0,0.0
Q4,29.037458448788346,78298,2880.0,2880.0,0.0
Q5 (Highest),486.85468373321424,78298,2880.0,2880.0,0.0
