stop_id,stop_name,stop_lon,stop_lat,source,nearest_poi_id,nearest_poi_type,nearest_poi_name,distance_m
50500,Taman Wahyu,101.672178,3.21451,gtfs_ktmb,6968643919,marketplace,Taman Wahyu Night Market,369.19888333669724
50600,BATU CAVES,101.681215,3.237796,gtfs_ktmb,2558334042,marketplace,Kompleks Muhibbah Selayang,1874.495230479688
52800,Angkasapuri,101.673367,3.113212,gtfs_ktmb,12215426854,school,Kafa Madrasah An-Nur,578.6785882800992
52900,Pantai Dalam,101.669927,3.095607,gtfs_ktmb,4664321797,school,SRA Al-Razi,1135.957771142921
53000,PETALING,101.664338,3.086485,gtfs_ktmb,4664321797,school,SRA Al-Razi,359.7186706325977
47300,PADANG BESAR,100.319514,6.662205,gtfs_ktmb,5043882423,school,SMK Padang Besar Utara,1443.4481006563337
54500,Bukit Badak,101.470176,3.036147,gtfs_ktmb,3966060724,other,Pangsapuri Seri Palma,2078.625171325989
54700,KLANG,101.449543,3.043078,gtfs_ktmb,4223727792,hospital,SMJ Medical Centre,1582.7670825929702
50400,Kampung Batu,101.675584,3.204892,gtfs_ktmb,9555874026,hospital,Shi Yi Tang International Sdn Bhd,740.7685541706247
53600,SETIA JAYA,101.61143,3.083373,gtfs_ktmb,11465774412,school,KAFA Integrasi Al-Islamiah,629.5449315655526
53700,SUBANG JAYA,101.587373,3.084554,gtfs_ktmb,4926229926,marketplace,Herbs 'N' Food,740.4405963941193
36700,Skudai,103.668209,1.557728,gtfs_ktmb,7273852337,school,Madrasah Tahfiz Al-Iman,4381.826877051663
400,BUKIT TENGAH,100.42173,5.3646,gtfs_ktmb,10044593410,marketplace,Uptown Bandar Perda,718.8661978651213
600,BUKIT MERTAJAM,100.447993,5.365998,gtfs_ktmb,12124230214,hospital,Klinik Pergigian L,1913.8898352254753
5700,PADANG RENGAS,100.857424,4.777932,gtfs_ktmb,5025008080,school,Maahad Tahfiz Wal-Qiraat Addin 6,1252.440856372617
6300,Kuala Kangsar,100.932601,4.776524,gtfs_ktmb,5029346406,school,SJK (T) Gandhi Memorial,717.8444223040788
7300,SUNGAI SIPUT,101.071261,4.818757,gtfs_ktmb,12992986633,school,Sekolah Jenis Kebangsaan (Tamil) Mahathma Gandhi Kalasalai,603.0294244532779
8600,TASEK,101.12028,4.65289,gtfs_ktmb,2847984350,school,SK Bandar Baru Putra,2894.992215527641
9000,IPOH,101.07333,4.597526,gtfs_ktmb,7869075806,school,SK St. Michael,697.184358318876
1700,Nibong Tebal,100.47965,5.16942,gtfs_ktmb,10039527938,marketplace,,1258.0099572745173
1900,PARIT BUNTAR,100.486575,5.130571,gtfs_ktmb,7491057665,marketplace,Muaz Mini Market,1221.2881899799718
2600,BAGAN SERAI,100.527197,5.028068,gtfs_ktmb,6501869196,school,SJK(C) Wai Sin,7448.307283430132
1000,SIMPANG AMPAT,100.48097,5.28599,gtfs_ktmb,12101125329,school,SJK (T) Tasek Permai,2642.3564241192335
3300,BUKIT MERAH,100.64617,5.0419,gtfs_ktmb,12968678217,school,,18428.49720382733
4500,KAMUNTING,100.7191,4.89589,gtfs_ktmb,6432223893,mall,The Store Taiping,2329.400453662765
4700,Taiping,100.731489,4.852059,gtfs_ktmb,6336699782,marketplace,Pokok Assam Market,2535.251281033931
43100,Kobah,100.44068,5.97233,gtfs_ktmb,2550917342,school,Sekolah Menengah Agama Nahdzah,4202.282182683097
44000,Alor Star,100.369291,6.113136,gtfs_ktmb,5592314780,marketplace,Tapak Pasar Malam Jalan Sultan Badlishah,1142.6484580165788
43500,TOKAI,100.408681,6.029316,gtfs_ktmb,11592447248,marketplace,,3010.2904801467043
44900,Kodiang,100.30266,6.37066,gtfs_ktmb,5043904721,school,SMK Arau,6624.838259863445
45800,ARAU,100.269002,6.431952,gtfs_ktmb,5043904721,school,SMK Arau,1211.6876250851985
46300,BUKIT KATRI,100.25713,6.52375,gtfs_ktmb,5043882424,school,SMK Dato Jaafar Hassan,462.74334255364266
50000,SENTUL,101.688802,3.183581,gtfs_ktmb,13369092758,school,Childbridge Centre,636.6926360860542
37400,HOLIDAY PLAZA,103.759833,1.488583,gtfs_ktmb,10074931007,marketplace,Jalan Setera night market,566.4137099430732
35500,SEDENAK,103.522491,1.712253,gtfs_ktmb,7138340279,school,ITAC Beauty Academy,13159.861982542407
37600,Woodlands,103.769551,1.443716,gtfs_ktmb,5884005085,marketplace,Night Market,1587.8593596371547
40500,TASEK GELUGOR,100.497955,5.482175,gtfs_ktmb,7625098801,school,Sekolah Agama Islamiyah As-Sharifiah Pokok Machang,2554.0743399955436
41400,SUNGAI PETANI,100.489755,5.642978,gtfs_ktmb,6771169086,school,KAFA Penjara Sg Petani,1189.5057380644043
37500,JB SENTRAL,103.764445,1.463147,gtfs_ktmb,10858968181,hospital,Maria Hospital,633.9880211130654
42400,GURUN,100.477451,5.824291,gtfs_ktmb,3994061959,school,Sekolah Jenis Kebangsaan (Cina) Yang Kao,4490.895886093467
68700,Jerantut,102.357945,3.937265,gtfs_ktmb,1725231964,marketplace,Night Market,199.26727579643912
69100,PADANG PIOL,102.4022,4.0011,gtfs_ktmb,7314729000,school,Sekolah Tunas Bakti Jerantut,5354.737888689748
69400,TEMBELING,102.3006,4.3373,gtfs_ktmb,7312181982,school,Sekolah Kebangsaan Kampung Pagi,23817.057860054592
69600,Mela,102.3154,4.10555,gtfs_ktmb,7312181956,school,,8421.685929480176
70000,SUNGAI LIK,102.2087,4.0889,gtfs_ktmb,6518255932,marketplace,Pasar Bunga Cengkih (Wet Market),20169.466538451426
70200,Krambit,102.19952,4.117319,gtfs_ktmb,6518255932,marketplace,Pasar Bunga Cengkih (Wet Market),17707.356096442098
63700,Kemayan,102.370571,3.135827,gtfs_ktmb,8487372255,marketplace,Pekan Sehari Bera,17858.27259277812
64100,Mengkuang,102.203137,5.330575,gtfs_ktmb,5724876625,school,SMK Sultan Yahya Petra 1,22687.462978652587
64400,Triang,102.411322,3.246451,gtfs_ktmb,8487372255,marketplace,Pekan Sehari Bera,5702.07010498841
71300,KUALA LIPIS,102.053791,4.186634,gtfs_ktmb,6518255932,marketplace,Pasar Bunga Cengkih (Wet Market),356.26744351136176
8000,CHEMOR,101.0713,4.81887,gtfs_ktmb,12992986633,school,Sekolah Jenis Kebangsaan (Tamil) Mahathma Gandhi Kalasalai,599.8849085152036
9400,LAHAT,101.05266,4.54219,gtfs_ktmb,13358417719,marketplace,Night market waterfront city,1519.3318380788885
9700,BATU GAJAH,101.0493,4.459894,gtfs_ktmb,3221138673,marketplace,Wet Market Batu Gajah,1478.295957741326
10200,KOTA BHARU (PK),101.07912,4.4026,gtfs_ktmb,3221138673,marketplace,Wet Market Batu Gajah,8634.467910509531
