from_stop_id,to_stop_id,route_id,travel_time_s,operator
29100,29500,ERT,480,ktmb
29500,29900,ERT,420,ktmb
29900,30500,ERT,600,ktmb
30500,31300,ERT,780,ktmb
31300,32100,ERT,840,ktmb
32100,32400,ERT,360,ktmb
32400,33200,ERT,1020,ktmb
33200,33600,ERT,360,ktmb
33600,34200,ERT,660,ktmb
34200,34800,ERT,720,ktmb
34800,35500,ERT,660,ktmb
35500,36000,ERT,660,ktmb
36000,36600,ERT,540,ktmb
36600,36900,ERT,960,ktmb
36900,37400,ERT,600,ktmb
37400,37405,ERT,180,ktmb
37405,37500,ERT,300,ktmb
9000,8600,100_9000,540,ktmb
8600,8000,100_9000,300,ktmb
8000,7300,100_9000,420,ktmb
7300,6300,100_9000,780,ktmb
6300,5700,100_9000,360,ktmb
5700,4700,100_9000,720,ktmb
4700,4500,100_9000,240,ktmb
4500,2600,100_9000,1260,ktmb
2600,1900,100_9000,480,ktmb
1900,1700,100_9000,240,ktmb
1700,1000,100_9000,480,ktmb
1000,600,100_9000,480,ktmb
600,400,100_9000,240,ktmb
400,100,100_9000,420,ktmb
100,400,100_9000,420,ktmb
400,600,100_9000,240,ktmb
600,1000,100_9000,480,ktmb
1000,1700,100_9000,480,ktmb
1700,1900,100_9000,240,ktmb
1900,2600,100_9000,480,ktmb
2600,4500,100_9000,1260,ktmb
4500,4700,100_9000,240,ktmb
4700,5700,100_9000,780,ktmb
5700,6300,100_9000,360,ktmb
6300,7300,100_9000,720,ktmb
7300,8000,100_9000,360,ktmb
8000,8600,100_9000,360,ktmb
8600,9000,100_9000,540,ktmb
100,400,100_47300,420,ktmb
400,600,100_47300,240,ktmb
600,40500,100_47300,720,ktmb
40500,41400,100_47300,660,ktmb
41400,42400,100_47300,780,ktmb
42400,43100,100_47300,600,ktmb
43100,43500,100_47300,240,ktmb
43500,44000,100_47300,420,ktmb
44000,44400,100_47300,300,ktmb
44400,45600,100_47300,780,ktmb
45600,45800,100_47300,360,ktmb
45800,46300,100_47300,420,ktmb
46300,47300,100_47300,720,ktmb
47300,46300,100_47300,720,ktmb
46300,45800,100_47300,420,ktmb
45800,45600,100_47300,360,ktmb
45600,44400,100_47300,780,ktmb
44400,44000,100_47300,300,ktmb
44000,43500,100_47300,300,ktmb
43500,43100,100_47300,360,ktmb
43100,42400,100_47300,600,ktmb
42400,41400,100_47300,780,ktmb
41400,40500,100_47300,660,ktmb
40500,600,100_47300,720,ktmb
600,400,100_47300,240,ktmb
400,100,100_47300,420,ktmb
27800,60800,SH,1680,ktmb
60800,61000,SH,780,ktmb
61000,61800,SH,900,ktmb
61800,62500,SH,720,ktmb
62500,63700,SH,2340,ktmb
63700,64100,SH,600,ktmb
64100,64400,SH,420,ktmb
64400,64700,SH,300,ktmb
64700,64900,SH,420,ktmb
64900,66100,SH,1740,ktmb
66100,66600,SH,660,ktmb
66600,67100,SH,720,ktmb
67100,67400,SH,360,ktmb
67400,67900,SH,720,ktmb
67900,68200,SH,780,ktmb
68200,68700,SH,300,ktmb
68700,69100,SH,600,ktmb
69100,69400,SH,300,ktmb
69400,69600,SH,360,ktmb
69600,70000,SH,420,ktmb
70000,70200,SH,300,ktmb
70200,71300,SH,1500,ktmb
71300,70200,SH,1560,ktmb
70200,70000,SH,180,ktmb
70000,69600,SH,540,ktmb
69600,69400,SH,240,ktmb
69400,69100,SH,300,ktmb
69100,68700,SH,780,ktmb
68700,68200,SH,120,ktmb
68200,67900,SH,840,ktmb
67900,67400,SH,2340,ktmb
67400,67100,SH,180,ktmb
67100,66600,SH,720,ktmb
66600,66100,SH,840,ktmb
66100,64900,SH,1680,ktmb
64900,64700,SH,300,ktmb
64700,64400,SH,480,ktmb
64400,64100,SH,240,ktmb
64100,63700,SH,720,ktmb
63700,62500,SH,2220,ktmb
62500,61800,SH,840,ktmb
61800,61000,SH,780,ktmb
61000,60800,SH,780,ktmb
60800,27800,SH,1740,ktmb
71300,71800,SH,540,ktmb
71800,72000,SH,240,ktmb
72000,72200,SH,300,ktmb
72200,72400,SH,420,ktmb
72400,72600,SH,240,ktmb
72600,72700,SH,240,ktmb
72700,73100,SH,1620,ktmb
73100,73500,SH,540,ktmb
73500,74000,SH,840,ktmb
74000,74500,SH,360,ktmb
74500,74800,SH,360,ktmb
74800,75000,SH,360,ktmb
75000,75300,SH,780,ktmb
75300,76000,SH,360,ktmb
86300,86000,SH,420,ktmb
86000,85700,SH,540,ktmb
85700,85500,SH,420,ktmb
85500,85100,SH,480,ktmb
85100,84800,SH,420,ktmb
84800,84600,SH,360,ktmb
84600,84400,SH,300,ktmb
84400,84200,SH,240,ktmb
84200,83700,SH,600,ktmb
83700,83100,SH,900,ktmb
83100,82400,SH,780,ktmb
82400,82100,SH,540,ktmb
82100,81700,SH,540,ktmb
81700,81200,SH,900,ktmb
81200,80700,SH,720,ktmb
80700,80500,SH,780,ktmb
80500,80300,SH,720,ktmb
80300,80000,SH,780,ktmb
80000,79800,SH,480,ktmb
79800,79300,SH,1680,ktmb
79300,78900,SH,660,ktmb
78900,78700,SH,420,ktmb
78700,78500,SH,240,ktmb
78500,78400,SH,360,ktmb
78400,78300,SH,300,ktmb
78300,78100,SH,720,ktmb
78100,77900,SH,600,ktmb
77900,77800,SH,1800,ktmb
77800,77400,SH,1080,ktmb
77400,77200,SH,480,ktmb
77200,77000,SH,360,ktmb
77000,76800,SH,60,ktmb
76800,76600,SH,900,ktmb
76600,76000,SH,1140,ktmb
76000,75300,SH,300,ktmb
75300,75000,SH,900,ktmb
75000,74800,SH,360,ktmb
74800,74500,SH,360,ktmb
74500,74000,SH,240,ktmb
74000,73500,SH,960,ktmb
73500,73100,SH,540,ktmb
73100,72700,SH,480,ktmb
72700,72600,SH,120,ktmb
72600,72400,SH,360,ktmb
72400,72200,SH,420,ktmb
72200,72000,SH,180,ktmb
72000,71800,SH,360,ktmb
71800,71300,SH,480,ktmb
76000,76600,SH,900,ktmb
76600,76800,SH,780,ktmb
76800,77000,SH,180,ktmb
77000,77200,SH,360,ktmb
77200,77400,SH,480,ktmb
77400,77800,SH,1080,ktmb
77800,77900,SH,240,ktmb
77900,78100,SH,600,ktmb
78100,78300,SH,660,ktmb
78300,78400,SH,360,ktmb
78400,78500,SH,360,ktmb
78500,78700,SH,240,ktmb
78700,78900,SH,420,ktmb
78900,79300,SH,660,ktmb
79300,79800,SH,1260,ktmb
79800,80000,SH,1620,ktmb
80000,80300,SH,780,ktmb
80300,80500,SH,720,ktmb
80500,80700,SH,780,ktmb
80700,81200,SH,720,ktmb
81200,81700,SH,900,ktmb
81700,82100,SH,1800,ktmb
82100,82400,SH,540,ktmb
82400,83100,SH,840,ktmb
83100,83700,SH,900,ktmb
83700,84200,SH,600,ktmb
84200,84400,SH,240,ktmb
84400,84600,SH,360,ktmb
84600,84800,SH,360,ktmb
84800,85100,SH,480,ktmb
85100,85500,SH,480,ktmb
85500,85700,SH,1800,ktmb
85700,86000,SH,540,ktmb
86000,86300,SH,420,ktmb
37500,37600,ST,300,ktmb
37600,37500,ST,300,ktmb
19100,19000,ETS,360,ktmb
19000,18900,ETS,120,ktmb
18900,18800,ETS,60,ktmb
18800,18700,ETS,300,ktmb
18700,18600,ETS,300,ktmb
18600,18400,ETS,180,ktmb
18400,18500,ETS,480,ktmb
18500,18100,ETS,420,ktmb
18100,17800,ETS,480,ktmb
17800,17300,ETS,540,ktmb
17300,16500,ETS,420,ktmb
16500,16300,ETS,120,ktmb
16300,16100,ETS,180,ktmb
16100,15400,ETS,480,ktmb
15400,15200,ETS,300,ktmb
15200,14600,ETS,360,ktmb
14600,14100,ETS,480,ktmb
14100,12900,ETS,780,ktmb
12900,11600,ETS,720,ktmb
11600,10900,ETS,600,ktmb
10900,10200,ETS,420,ktmb
10200,9700,ETS,360,ktmb
9700,9400,ETS,420,ktmb
9400,9000,ETS,360,ktmb
100,400,ETS,360,ktmb
400,600,ETS,240,ktmb
600,1000,ETS,360,ktmb
1000,1700,ETS,360,ktmb
1700,1900,ETS,120,ktmb
1900,2600,ETS,300,ktmb
2600,4500,ETS,1080,ktmb
4500,4700,ETS,240,ktmb
4700,5700,ETS,540,ktmb
5700,6300,ETS,300,ktmb
6300,7300,ETS,600,ktmb
7300,8000,ETS,300,ktmb
8000,8600,ETS,300,ktmb
8600,9000,ETS,600,ktmb
9000,9400,ETS,240,ktmb
9400,9700,ETS,240,ktmb
9700,10200,ETS,240,ktmb
10200,10900,ETS,360,ktmb
10900,11600,ETS,420,ktmb
11600,12900,ETS,660,ktmb
12900,14100,ETS,660,ktmb
14100,14600,ETS,360,ktmb
14600,15200,ETS,480,ktmb
15200,15400,ETS,180,ktmb
15400,16100,ETS,600,ktmb
16100,16300,ETS,180,ktmb
16300,16500,ETS,180,ktmb
16500,17300,ETS,360,ktmb
17300,17800,ETS,420,ktmb
17800,18100,ETS,300,ktmb
18100,18500,ETS,300,ktmb
18500,18400,ETS,240,ktmb
18400,18600,ETS,60,ktmb
18600,18700,ETS,180,ktmb
18700,18800,ETS,240,ktmb
18800,18900,ETS,60,ktmb
18900,19000,ETS,240,ktmb
19000,19100,ETS,180,ktmb
9000,8600,ETS,420,ktmb
8600,8000,ETS,240,ktmb
8000,7300,ETS,360,ktmb
7300,6300,ETS,660,ktmb
6300,5700,ETS,300,ktmb
5700,4700,ETS,660,ktmb
4700,4500,ETS,180,ktmb
4500,2600,ETS,1020,ktmb
2600,1900,ETS,480,ktmb
1900,1700,ETS,180,ktmb
1700,1000,ETS,420,ktmb
1000,600,ETS,420,ktmb
600,400,ETS,180,ktmb
400,100,ETS,540,ktmb
47300,46300,ETS,720,ktmb
