stop_id,stop_name,stop_lat,stop_lon,operator
62500,SERTING,2.810356,102.404968,ktmb
85500,Bunut Susu,6.09638,102.17623,ktmb
100,BUTTERWORTH,5.393343,100.366201,ktmb
39600,Gelang Patah,1.439209,103.590013,ktmb
39700,Tanjung Pelepas,1.385313,103.559204,ktmb
16300,RASA,3.500586,101.634113,ktmb
16500,BATANG KALI,3.46838,101.637759,ktmb
19205,Midvalley,3.119211,101.678865,ktmb
23100,SUNGAI GADUT,2.660898,101.996158,ktmb
45600,KODIANG,6.37053,100.3023,ktmb
44400,ANAK BUKIT,6.183395,100.374874,ktmb
78500,Sri Mahligai,5.31332,101.77286,ktmb
78700,Sri Jaya,5.30785,102.00906,ktmb
78900,Kemubu,5.35271,102.31175,ktmb
79300,Dabong,5.377071,102.010175,ktmb
79800,Kuala Gris,5.49379,102.08047,ktmb
80000,Bukit Abu,5.37267,102.08513,ktmb
77200,Sungai Sirian,5.0337,102.04945,ktmb
81700,Pahi,5.54847,102.23977,ktmb
60800,LONDAH,2.810356,102.404968,ktmb
61000,ROMPIN,2.810356,102.404968,ktmb
61800,Bahau,2.811299,102.403595,ktmb
64700,MENTRI,3.246451,102.411322,ktmb
64900,Mengkarak,3.33114,102.418784,ktmb
66100,Mentakab,3.483896,102.343041,ktmb
66600,Kerdau,3.577513,102.3697,ktmb
67100,SUNGAI DALAM,3.710453,102.366258,ktmb
67400,Kuala Krau,3.710453,102.366258,ktmb
18400,Kepong Sentral,3.208653,101.62849,ktmb
37405,DANGA CITY MALL,1.4753,103.7548,ktmb
22900,Senawang,2.690138,101.972336,ktmb
71800,Pdg.Tungku,4.23397,101.98883,ktmb
72000,KG TELANG,4.186634,102.053791,ktmb
72200,B.Betong,4.39984,101.92368,ktmb
72400,Kg.Berkam,4.20116,102.05187,ktmb
67900,Jenderak,3.807343,102.359165,ktmb
68200,JERANSONG,3.937265,102.357945,ktmb
73500,Sungai Temau,4.49778,101.9474,ktmb
74000,KUBANG RUSA,4.69314,102.00328,ktmb
74500,Teluk Gunong,4.63526,101.99271,ktmb
74800,Merapoh,4.69314,102.00328,ktmb
75000,Mentara Baru,4.78934,102.01179,ktmb
75300,LAPAN TUPAI,4.878941,101.966634,ktmb
76000,Gua Musang,4.878941,101.966634,ktmb
82100,Kuala Krai,5.529884,102.202808,ktmb
77400,Limau Kasturi,5.08019,102.06936,ktmb
77800,Bertam Baru,5.142897,102.045598,ktmb
77900,Bertam,5.148,102.05066,ktmb
78100,Jerek Baru,5.1739,102.00993,ktmb
78300,Sungai Tasin,5.19518,102.01353,ktmb
84200,Bukit Panau,5.89126,102.15727,ktmb
84400,Sungai Keladi,5.9052,102.15896,ktmb
84600,To' Uban,5.98236,102.11687,ktmb
84800,Cicha Tinggi,6.0225,102.14004,ktmb
85100,Pasir Mas,6.042713,102.142574,ktmb
80300,Kg Baru Bukit Abu,5.32983,102.1214,ktmb
80500,Ulu Temiang,5.30765,102.15629,ktmb
80700,Kg.Baru Sg.Mengkuang,5.38989,102.14639,ktmb
81200,Manek Urai,5.39103,102.23263,ktmb
85700,Wakaf Bahru,6.118313,102.200519,ktmb
86000,Kampung Kok Pasir,6.16321,102.20769,ktmb
86300,TUMPAT,6.19899,102.167621,ktmb
82400,Sungai Nal,5.58888,102.180094,ktmb
83100,Temangan,5.70241,102.15165,ktmb
83700,Tanah Merah,5.806077,102.146729,ktmb
52700,ABDULLAH HUKUM,3.11869,101.67293,ktmb
50300,Batu Kentonmen,3.198485,101.681138,ktmb
20402,KAJANG 2,2.96264,101.79207,ktmb
