lon,lat,stops_nearby,pois_nearby,pop_density,accessibility_score,accessibility_category
117.00380020000026,0.8995945,0,0,0.0,0.175,Very Low
117.20380020000025,0.8995945,0,0,0.0,0.175,Very Low
117.40380020000026,0.8995945,0,0,0.0,0.175,Very Low
117.60380020000025,0.8995945,0,0,0.0,0.175,Very Low
117.80380020000027,0.8995945,0,0,0.0,0.175,Very Low
118.00380020000026,0.8995945,0,0,0.0,0.175,Very Low
118.20380020000027,0.8995945,0,0,0.0,0.175,Very Low
118.40380020000026,0.8995945,0,0,0.0,0.175,Very Low
118.60380020000028,0.8995945,0,0,0.0,0.175,Very Low
118.80380020000027,0.8995945,0,0,0.0,0.175,Very Low
119.00380020000028,0.8995945,0,0,0.0,0.175,Very Low
119.20380020000027,0.8995945,0,0,0.0,0.175,Very Low
119.40380020000029,0.8995945,0,0,0.0,0.175,Very Low
99.6038002,1.0995944999999998,0,0,0.0,0.175,Very Low
99.80380020000001,1.0995944999999998,0,0,0.0,0.175,Very Low
100.0038002,1.0995944999999998,0,0,0.0,0.175,Very Low
100.20380020000002,1.0995944999999998,0,0,0.0,0.175,Very Low
100.4038002,1.0995944999999998,0,0,0.0,0.175,Very Low
100.60380020000002,1.0995944999999998,0,0,0.0,0.175,Very Low
100.80380020000001,1.0995944999999998,0,0,0.0,0.175,Very Low
101.00380020000003,1.0995944999999998,0,0,0.0,0.175,Very Low
101.20380020000002,1.0995944999999998,0,0,0.0,0.175,Very Low
101.40380020000003,1.0995944999999998,0,0,0.0,0.175,Very Low
101.60380020000002,1.0995944999999998,0,0,0.0,0.175,Very Low
101.80380020000004,1.0995944999999998,0,0,0.0,0.175,Very Low
102.00380020000003,1.0995944999999998,0,0,0.0,0.175,Very Low
102.20380020000005,1.0995944999999998,0,0,0.0,0.175,Very Low
102.40380020000003,1.0995944999999998,0,0,0.0,0.175,Very Low
102.60380020000005,1.0995944999999998,0,0,0.0,0.175,Very Low
102.80380020000004,1.0995944999999998,0,0,0.0,0.175,Very Low
103.00380020000006,1.0995944999999998,0,0,0.0,0.175,Very Low
103.20380020000005,1.0995944999999998,0,0,0.0,0.175,Very Low
103.40380020000006,1.0995944999999998,0,0,65.67431015438504,0.175,Very Low
103.60380020000005,1.0995944999999998,0,0,65.67431015438504,0.175,Very Low
103.80380020000007,1.0995944999999998,0,0,0.0,0.175,Very Low
104.00380020000006,1.0995944999999998,0,0,0.0,0.175,Very Low
104.20380020000007,1.0995944999999998,0,0,0.0,0.175,Very Low
104.40380020000006,1.0995944999999998,0,0,0.0,0.175,Very Low
104.60380020000008,1.0995944999999998,0,0,0.0,0.175,Very Low
104.80380020000007,1.0995944999999998,0,0,0.0,0.175,Very Low
105.00380020000009,1.0995944999999998,0,0,0.0,0.175,Very Low
105.20380020000007,1.0995944999999998,0,0,0.0,0.175,Very Low
105.40380020000009,1.0995944999999998,0,0,0.0,0.175,Very Low
105.60380020000008,1.0995944999999998,0,0,0.0,0.175,Very Low
105.8038002000001,1.0995944999999998,0,0,0.0,0.175,Very Low
106.00380020000009,1.0995944999999998,0,0,0.0,0.175,Very Low
106.2038002000001,1.0995944999999998,0,0,0.0,0.175,Very Low
106.40380020000009,1.0995944999999998,0,0,0.0,0.175,Very Low
106.60380020000011,1.0995944999999998,0,0,0.0,0.175,Very Low
106.8038002000001,1.0995944999999998,0,0,0.0,0.175,Very Low
107.00380020000011,1.0995944999999998,0,0,0.0,0.175,Very Low
107.2038002000001,1.0995944999999998,0,0,0.0,0.175,Very Low
107.40380020000012,1.0995944999999998,0,0,0.0,0.175,Very Low
107.60380020000011,1.0995944999999998,0,0,0.0,0.175,Very Low
107.80380020000013,1.0995944999999998,0,0,0.0,0.175,Very Low
108.00380020000011,1.0995944999999998,0,0,0.0,0.175,Very Low
108.20380020000013,1.0995944999999998,0,0,0.0,0.175,Very Low
108.40380020000012,1.0995944999999998,0,0,0.0,0.175,Very Low
108.60380020000014,1.0995944999999998,0,0,0.0,0.175,Very Low
108.80380020000013,1.0995944999999998,0,0,0.0,0.175,Very Low
109.00380020000014,1.0995944999999998,0,0,0.0,0.175,Very Low
109.20380020000013,1.0995944999999998,0,0,0.0,0.175,Very Low
109.40380020000015,1.0995944999999998,0,0,0.0,0.175,Very Low
109.60380020000014,1.0995944999999998,0,0,0.0,0.175,Very Low
109.80380020000015,1.0995944999999998,0,0,0.0,0.175,Very Low
110.00380020000014,1.0995944999999998,0,0,20.4019204393745,0.175,Very Low
110.20380020000016,1.0995944999999998,0,0,33.840300567626954,0.175,Very Low
110.40380020000015,1.0995944999999998,0,0,58.28036074172853,0.175,Very Low
110.60380020000017,1.0995944999999998,0,0,50.596417748206875,0.175,Very Low
110.80380020000015,1.0995944999999998,0,0,25.102289665790604,0.175,Very Low
111.00380020000017,1.0995944999999998,0,0,17.983513903864285,0.175,Very Low
111.20380020000016,1.0995944999999998,0,0,15.514992697238922,0.175,Very Low
111.40380020000018,1.0995944999999998,0,0,33.0897131003488,0.175,Very Low
111.60380020000017,1.0995944999999998,0,0,38.99735891079489,0.175,Very Low
111.80380020000018,1.0995944999999998,0,0,23.332314089680395,0.175,Very Low
112.00380020000017,1.0995944999999998,0,0,11.634562201673786,0.175,Very Low
112.20380020000019,1.0995944999999998,0,0,4.0010425519073625,0.175,Very Low
112.40380020000018,1.0995944999999998,0,0,0.0,0.175,Very Low
112.6038002000002,1.0995944999999998,0,0,0.0,0.175,Very Low
112.80380020000018,1.0995944999999998,0,0,0.0,0.175,Very Low
113.0038002000002,1.0995944999999998,0,0,0.0,0.175,Very Low
113.20380020000019,1.0995944999999998,0,0,0.0,0.175,Very Low
113.4038002000002,1.0995944999999998,0,0,1.3083903331022997,0.175,Very Low
113.6038002000002,1.0995944999999998,0,0,1.3469490854680037,0.175,Very Low
113.80380020000021,1.0995944999999998,0,0,1.3516779890600241,0.175,Very Low
114.0038002000002,1.0995944999999998,0,0,0.0,0.175,Very Low
114.20380020000022,1.0995944999999998,0,0,0.0,0.175,Very Low
114.4038002000002,1.0995944999999998,0,0,0.0,0.175,Very Low
114.60380020000022,1.0995944999999998,0,0,0.0,0.175,Very Low
114.80380020000021,1.0995944999999998,0,0,0.0,0.175,Very Low
115.00380020000023,1.0995944999999998,0,0,0.0,0.175,Very Low
115.20380020000022,1.0995944999999998,0,0,0.0,0.175,Very Low
115.40380020000023,1.0995944999999998,0,0,0.0,0.175,Very Low
115.60380020000022,1.0995944999999998,0,0,0.0,0.175,Very Low
115.80380020000024,1.0995944999999998,0,0,0.0,0.175,Very Low
116.00380020000023,1.0995944999999998,0,0,0.0,0.175,Very Low
116.20380020000025,1.0995944999999998,0,0,0.0,0.175,Very Low
116.40380020000023,1.0995944999999998,0,0,0.0,0.175,Very Low
116.60380020000025,1.0995944999999998,0,0,0.0,0.175,Very Low
116.80380020000024,1.0995944999999998,0,0,0.0,0.175,Very Low
117.00380020000026,1.0995944999999998,0,0,0.0,0.175,Very Low
117.20380020000025,1.0995944999999998,0,0,0.0,0.175,Very Low
117.40380020000026,1.0995944999999998,0,0,0.0,0.175,Very Low
117.60380020000025,1.0995944999999998,0,0,0.0,0.175,Very Low
117.80380020000027,1.0995944999999998,0,0,0.0,0.175,Very Low
118.00380020000026,1.0995944999999998,0,0,0.0,0.175,Very Low
118.20380020000027,1.0995944999999998,0,0,0.0,0.175,Very Low
118.40380020000026,1.0995944999999998,0,0,0.0,0.175,Very Low
118.60380020000028,1.0995944999999998,0,0,0.0,0.175,Very Low
118.80380020000027,1.0995944999999998,0,0,0.0,0.175,Very Low
119.00380020000028,1.0995944999999998,0,0,0.0,0.175,Very Low
119.20380020000027,1.0995944999999998,0,0,0.0,0.175,Very Low
119.40380020000029,1.0995944999999998,0,0,0.0,0.175,Very Low
99.6038002,1.2995945,0,0,0.0,0.175,Very Low
99.80380020000001,1.2995945,0,0,0.0,0.175,Very Low
100.0038002,1.2995945,0,0,0.0,0.175,Very Low
100.20380020000002,1.2995945,0,0,0.0,0.175,Very Low
100.4038002,1.2995945,0,0,0.0,0.175,Very Low
100.60380020000002,1.2995945,0,0,0.0,0.175,Very Low
100.80380020000001,1.2995945,0,0,0.0,0.175,Very Low
101.00380020000003,1.2995945,0,0,0.0,0.175,Very Low
101.20380020000002,1.2995945,0,0,0.0,0.175,Very Low
101.40380020000003,1.2995945,0,0,0.0,0.175,Very Low
101.60380020000002,1.2995945,0,0,0.0,0.175,Very Low
101.80380020000004,1.2995945,0,0,0.0,0.175,Very Low
102.00380020000003,1.2995945,0,0,0.0,0.175,Very Low
102.20380020000005,1.2995945,0,0,0.0,0.175,Very Low
102.40380020000003,1.2995945,0,0,0.0,0.175,Very Low
102.60380020000005,1.2995945,0,0,0.0,0.175,Very Low
102.80380020000004,1.2995945,0,0,0.0,0.175,Very Low
103.00380020000006,1.2995945,0,0,0.0,0.175,Very Low
103.20380020000005,1.2995945,0,0,1150.1340136174802,0.175,Very Low
103.40380020000006,1.2995945,0,0,329.92191726894583,0.175,Very Low
103.60380020000005,1.2995945,0,0,939.721411794009,0.175,Very Low
103.80380020000007,1.2995945,0,10,2668.6833101311736,0.35,Low
104.00380020000006,1.2995945,0,0,908.2833370867029,0.175,Very Low
104.20380020000007,1.2995945,0,0,66.96387498863673,0.175,Very Low
104.40380020000006,1.2995945,0,0,47.57082069060382,0.175,Very Low
104.60380020000008,1.2995945,0,0,0.0,0.175,Very Low
104.80380020000007,1.2995945,0,0,0.0,0.175,Very Low
105.00380020000009,1.2995945,0,0,0.0,0.175,Very Low
105.20380020000007,1.2995945,0,0,0.0,0.175,Very Low
105.40380020000009,1.2995945,0,0,0.0,0.175,Very Low
105.60380020000008,1.2995945,0,0,0.0,0.175,Very Low
105.8038002000001,1.2995945,0,0,0.0,0.175,Very Low
106.00380020000009,1.2995945,0,0,0.0,0.175,Very Low
106.2038002000001,1.2995945,0,0,0.0,0.175,Very Low
106.40380020000009,1.2995945,0,0,0.0,0.175,Very Low
106.60380020000011,1.2995945,0,0,0.0,0.175,Very Low
106.8038002000001,1.2995945,0,0,0.0,0.175,Very Low
107.00380020000011,1.2995945,0,0,0.0,0.175,Very Low
107.2038002000001,1.2995945,0,0,0.0,0.175,Very Low
107.40380020000012,1.2995945,0,0,0.0,0.175,Very Low
107.60380020000011,1.2995945,0,0,0.0,0.175,Very Low
107.80380020000013,1.2995945,0,0,0.0,0.175,Very Low
108.00380020000011,1.2995945,0,0,0.0,0.175,Very Low
108.20380020000013,1.2995945,0,0,0.0,0.175,Very Low
108.40380020000012,1.2995945,0,0,0.0,0.175,Very Low
108.60380020000014,1.2995945,0,0,0.0,0.175,Very Low
108.80380020000013,1.2995945,0,0,0.0,0.175,Very Low
109.00380020000014,1.2995945,0,0,0.0,0.175,Very Low
109.20380020000013,1.2995945,0,0,0.0,0.175,Very Low
109.40380020000015,1.2995945,0,0,0.0,0.175,Very Low
109.60380020000014,1.2995945,0,0,7.522535800933838,0.175,Very Low
109.80380020000015,1.2995945,0,0,31.327972171963125,0.175,Very Low
110.00380020000014,1.2995945,0,0,60.813587401926185,0.175,Very Low
110.20380020000016,1.2995945,0,0,168.8468140496693,0.175,Very Low
110.40380020000015,1.2995945,0,0,199.91372516725284,0.175,Very Low
110.60380020000017,1.2995945,0,0,94.88060841514674,0.175,Very Low
110.80380020000015,1.2995945,0,0,21.629010594780144,0.175,Very Low
111.00380020000017,1.2995945,0,0,14.402755949925043,0.175,Very Low
111.20380020000016,1.2995945,0,0,15.552457109385314,0.175,Very Low
111.40380020000018,1.2995945,0,0,34.744042653899385,0.175,Very Low
111.60380020000017,1.2995945,0,0,37.347313647885144,0.175,Very Low
111.80380020000018,1.2995945,0,0,16.634507560296683,0.175,Very Low
112.00380020000017,1.2995945,0,0,6.118167837870181,0.175,Very Low
112.20380020000019,1.2995945,0,0,2.435708873438579,0.175,Very Low
112.40380020000018,1.2995945,0,0,1.9803404347463087,0.175,Very Low
112.6038002000002,1.2995945,0,0,0.0,0.175,Very Low
112.80380020000018,1.2995945,0,0,1.2402708945067034,0.175,Very Low
