NAME_1,stop_count,stop_density,equity_score
Johor,23.0,0.001193587200499682,0.6000763452428692
Kedah,8.0,0.0008260668764401469,0.6000528375943388
Kelantan,38.0,0.00247367260299122,0.6001582231575331
KualaLumpur,1289.0,4.690222294053802,0.8999999999999999
Labuan,0.0,0.0,0.6000000000000001
Melaka,1.0,0.000599545426347069,0.6000383486360832
NegeriSembilan,14.0,0.0020810523993894663,0.6001331100490925
Pahang,28.0,0.0007724624397192135,0.6000494089016228
Perak,20.0,0.0009434235380529213,0.6000603440612557
Perlis,3.0,0.0035709395806807595,0.600228407484132
PulauPinang,6.0,0.005603130042674155,0.6003583921842965
Putrajaya,99.0,1.589051244719552,0.7016402514695814
Sabah,0.0,0.0,0.6000000000000001
Sarawak,0.0,0.0,0.6000000000000001
Selangor,2526.0,0.319608013418394,0.6204430404390591
Trengganu,0.0,0.0,0.6000000000000001
