,total_ridership,fuel_ron95,rainfall_mm,modal_shift_signal
total_ridership,1.0,0.2760154424899354,0.07536643880837486,0.027994271766160272
fuel_ron95,0.2760154424899354,1.0,0.04126471060424292,0.3911835658699495
rainfall_mm,0.07536643880837486,0.04126471060424292,1.0,0.3080421966620585
modal_shift_signal,0.027994271766160272,0.3911835658699495,0.3080421966620585,1.0
