,total_ridership,rainfall_mm,rainfall_anomaly,heavy_rain
total_ridership,1.0,0.07536643880837486,-0.039079170293654306,0.0273818147049007
rainfall_mm,0.07536643880837486,1.0,0.7442032307969106,0.7488396640331046
rainfall_anomaly,-0.039079170293654306,0.7442032307969106,1.0,0.5584530494785434
heavy_rain,0.0273818147049007,0.7488396640331046,0.5584530494785434,1.0
