model_key,display_name,mco,lookback,run_id,verdict,val_drift_pct,gap_ratio,val_trend,early_stop,best_epoch,total_epochs,notes
st_lstm_tuned,STLSTMForecaster (tuned),include,28,20260530_174516,overfit,11.34,4.1635,falling,False,11,26,Val drift +11.3% above best — within normal ... | Val/train gap 4.16× exceeds ... | Training loss still declining in final 10 epochs ...
st_lstm_tuned,STLSTMForecaster (tuned),include,56,20260530_174528,overfit,7.18,5.3382,falling,False,21,36,Val drift +7.2% above best — within normal ... | Val/train gap 5.34× exceeds ...
stfgnn,STFGNNForecaster,exclude,14,20260530_134430,good_fit,22.37,1.7235,flat,False,35,50,Val drift +22.4% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 1.72× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
stfgnn,STFGNNForecaster,exclude,28,20260530_134507,good_fit,15.23,1.9173,falling,False,52,67,Val drift +15.2% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 1.92× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
stfgnn,STFGNNForecaster,exclude,56,20260530_134548,good_fit,1.3,1.9481,flat,False,34,49,Val drift +1.3% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 1.95× is within the 3× threshold (accounts for dropout + input noise during training). | No overfitting or underfitting signals detected.
stfgnn,STFGNNForecaster,include,14,20260530_163103,overfit,25.49,3.2189,falling,False,27,42,"Val loss drifted +25.5% above its best (best=0.00714 → final=0.00897) — model degraded after epoch 27. | Val/train gap 3.22× exceeds 3× (min_train=0.00222, best_val=0.00714) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +25.5% — train/val divergence detected."
stfgnn,STFGNNForecaster,include,28,20260530_163200,overfit,2.79,3.128,falling,False,30,45,"Val drift +2.8% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 3.13× exceeds 3× (min_train=0.00372, best_val=0.01163) — significant memorisation of training data."
stfgnn,STFGNNForecaster,include,56,20260530_163306,overfit,26.11,2.34,falling,False,18,33,Val loss drifted +26.1% above its best (best=0.01275 → final=0.01607) — model degraded after epoch 18. | Val/train gap 2.34× is within the 3× threshold (accounts for dropout + input noise during training). | Training loss still declining in final 10 epochs while val drifted up +26.1% — train/val divergence detected.
stfgnn_tuned,STFGNNForecaster (tuned),exclude,14,20260530_141827,overfit,33.52,2.3947,falling,False,34,49,Val loss drifted +33.5% above its best ... | Val/train gap 2.39× is within the 3× threshold ... | Training loss still declining in final 10 epochs ...
stfgnn_tuned,STFGNNForecaster (tuned),exclude,28,20260530_141902,overfit,34.66,1.8828,falling,False,10,25,Val loss drifted +34.7% above its best ... | Val/train gap 1.88× is within the 3× threshold ...
stfgnn_tuned,STFGNNForecaster (tuned),exclude,56,20260530_141953,good_fit,15.44,1.9614,rising,False,19,34,Val drift +15.4% above best — within normal ... | Val/train gap 1.96× is within the 3× threshold ... | No overfitting or underfitting signals detected.
stfgnn_tuned,STFGNNForecaster (tuned),include,14,20260530_170802,overfit,33.44,3.5651,falling,False,26,41,Val loss drifted +33.4% above its best ... | Val/train gap 3.57× exceeds ... | Training loss still declining in final 10 epochs ...
stfgnn_tuned,STFGNNForecaster (tuned),include,28,20260530_170849,overfit,46.67,2.4929,falling,False,13,28,Val loss drifted +46.7% above its best ... | Val/train gap 2.49× is within the 3× threshold ... | Training loss still declining in final 10 epochs ...
