category,count,span_area_km2,density_pois_per_km2
school,2022,1517208.558496039,0.0013327106472457188
marketplace,449,1472244.7058294537,0.0003049764745100823
hospital,307,1515622.310883934,0.0002025570604202527
mall,82,1357082.0280513742,6.042376091130121e-05
apartments,20,957903.9991850774,2.087891899085368e-05
