stop_id,stop_name,stop_lat,stop_lon,route_id,operator
AG18,AMPANG,3.150318,101.760049,AG,rapid_rail_kl
AG17,CAHAYA,3.140575,101.756677,AG,rapid_rail_kl
AG16,CEMPAKA,3.138324,101.752979,AG,rapid_rail_kl
AG15,PANDAN INDAH,3.134581,101.746509,AG,rapid_rail_kl
AG14,PANDAN JAYA,3.130141,101.739122,AG,rapid_rail_kl
AG13,MALURI,3.12329,101.727283,AG,rapid_rail_kl
AG12,MIHARJA,3.120973,101.717922,AG,rapid_rail_kl
AG11,CHAN SOW LIN,3.128105,101.715637,AG,rapid_rail_kl
AG10,PUDU,3.134879,101.711957,AG,rapid_rail_kl
AG9,HANG TUAH,3.140012,101.705984,AG,rapid_rail_kl
AG8,PLAZA RAKYAT,3.144049,101.702105,AG,rapid_rail_kl
AG7,MASJID JAMEK,3.14927,101.696377,AG,rapid_rail_kl
AG6,BANDARAYA - UOB,3.155567,101.694485,AG,rapid_rail_kl
AG5,SULTAN ISMAIL,3.161245,101.694109,AG,rapid_rail_kl
AG4,PWTC,3.166333,101.693586,AG,rapid_rail_kl
AG3,TITIWANGSA,3.173497,101.695367,AG,rapid_rail_kl
AG2,SENTUL,3.178484,101.695542,AG,rapid_rail_kl
AG1,SENTUL TIMUR,3.185897,101.695217,AG,rapid_rail_kl
KJ37,PUTRA HEIGHTS,2.996227,101.575462,KJ,rapid_rail_kl
KJ36,SUBANG ALAM,3.009421,101.572281,KJ,rapid_rail_kl
KJ35,ALAM MEGAH,3.023151,101.572029,KJ,rapid_rail_kl
KJ34,USJ 21,3.029881,101.581711,KJ,rapid_rail_kl
KJ33,WAWASAN,3.035062,101.588348,KJ,rapid_rail_kl
KJ32,TAIPAN,3.04815,101.590233,KJ,rapid_rail_kl
KJ31,USJ 7,3.054956,101.592194,KJ,rapid_rail_kl
KJ30,SS 18,3.067182,101.585945,KJ,rapid_rail_kl
KJ29,SS 15,3.075972,101.585983,KJ,rapid_rail_kl
KJ28,SUBANG JAYA,3.08466,101.588127,KJ,rapid_rail_kl
KJ27,CGC GLENMARIE,3.094732,101.590622,KJ,rapid_rail_kl
KJ26,ARA DAMANSARA,3.108643,101.586372,KJ,rapid_rail_kl
KJ25,LEMBAH SUBANG,3.112094,101.591034,KJ,rapid_rail_kl
KJ24,KELANA JAYA,3.112497,101.6043,KJ,rapid_rail_kl
KJ23,TAMAN BAHAGIA,3.11079,101.612856,KJ,rapid_rail_kl
KJ22,TAMAN PARAMOUNT,3.104716,101.623192,KJ,rapid_rail_kl
KJ21,ASIA JAYA,3.104343,101.637695,KJ,rapid_rail_kl
KJ20,TAMAN JAYA,3.104086,101.645248,KJ,rapid_rail_kl
KJ19,UNIVERSITI,3.114616,101.661639,KJ,rapid_rail_kl
KJ18,KERINCHI,3.115506,101.668572,KJ,rapid_rail_kl
KJ17,ABDULLAH HUKUM,3.118735,101.672897,KJ,rapid_rail_kl
