stop_id,stop_name,stop_lat,stop_lon,operator
12000418,Setia Triangle,5.30294,100.26187,rapidbus_penang
12000427,Tingkat Kenari,5.31454,100.266,rapidbus_penang
12000512,Surau Gertak Sanggul,5.2823,100.1942,rapidbus_penang
12000513,Klinik Desa,5.28238,100.1976,rapidbus_penang
12000616,Masjid Makbul Teluk Kumbar,5.29419,100.22805,rapidbus_penang
12000847,KFC Jalan Mahsuri,5.32686,100.28667,rapidbus_penang
12000885,Sunshine Square,5.325499,100.2875,rapidbus_penang
12001442,Terminal Bas Ekpress Sg Nibong,5.3429400000000005,100.30106,rapidbus_penang
12001847,Kompleks Bukit Jambul,5.332703,100.29074,rapidbus_penang
12002205,Klinik Rakyat,5.348064900000001,100.3037163,rapidbus_penang
12001425,B Braun,5.3083800000000005,100.28226,rapidbus_penang
12001815,Fortune Court,5.3978,100.28845,rapidbus_penang
12001973,Lebuhraya Thean Teik,5.38875,100.27956,rapidbus_penang
12000213,Mar Vista,5.4707300000000005,100.27724,rapidbus_penang
12000232,Moon Light Cafe,5.47812,100.26286,rapidbus_penang
12000833,Hospital Loh Guan Lye,5.41912,100.3182,rapidbus_penang
12001060,Komtar Utara,5.41513,100.32899,rapidbus_penang
12001662,Chinese Swimming Club,5.46285,100.30404,rapidbus_penang
12001671,Harmony Residence,5.46546,100.28178,rapidbus_penang
12001677,Tsunami Village,5.4662,100.27991,rapidbus_penang
12001832,Wisma MCA,5.41841,100.32954,rapidbus_penang
12002230,Feringghi Villa,5.46537604,100.24112262,rapidbus_penang
12002976,Hotel Angsana,5.4621399,100.220251,rapidbus_penang
12000753,Kampung Telok Manan,5.57533,100.36786,rapidbus_penang
12001716,Kuarters TUDM,5.45966,100.3832,rapidbus_penang
12001731,Masjid Jamek Teluk Air Tawar,5.4882,100.3838,rapidbus_penang
12002544,SK Bagan Jermal,5.431374,100.378297,rapidbus_penang
12002637,Hub Kuala Muda,5.5692459,100.3484233,rapidbus_penang
12000746,Padang SK Pulau Mertajam,5.57072,100.36244,rapidbus_penang
12000748,SK Pulau Mertajam,5.57275,100.36416,rapidbus_penang
12001110,Masjid Bakar Kapor,5.53999,100.37881,rapidbus_penang
12001111,Bakar Kapor,5.544969999999999,100.37819,rapidbus_penang
12001113,Pasir Gebu,5.54724,100.37779,rapidbus_penang
12001714,Padang Golf TUDM,5.45589,100.38345,rapidbus_penang
12001715,Kuarters TUDM,5.45942,100.38332,rapidbus_penang
12001728,SK Telok Air Tawar,5.48427,100.38366,rapidbus_penang
12001730,Klinik Desa Teluk Air Tawar,5.48784,100.38381,rapidbus_penang
12002549,Maybank Butterworth,5.3977580000000005,100.367789,rapidbus_penang
12000063,BHP Kampung Baru,5.40468,100.29051,rapidbus_penang
12000968,SK Padang Tembak,5.41019,100.29205,rapidbus_penang
12001376,Jalan Sempadan,5.40766,100.28867,rapidbus_penang
12000460,Penjara P.Pinang(Hospital),5.41364,100.31312,rapidbus_penang
12001508,Pusat Perniagaan Desa Murni,5.4371,100.43021,rapidbus_penang
12001547,Masjid Nyior Sebatang,5.46042,100.44818,rapidbus_penang
12002361,Taman Pasir Indah,5.429739,100.432323,rapidbus_penang
12002364,Pejabat Pos Penanti,5.405272,100.463646,rapidbus_penang
12000251,Hospital Kepala Batas,5.51273,100.43768,rapidbus_penang
12001851,Taman Perda Indah,5.510836,100.50481,rapidbus_penang
12001855,Kiosk Bertam,5.5181,100.44867,rapidbus_penang
12001856,Kayangan,5.51812,100.45221,rapidbus_penang
12001858,Masjid Kubang Menerong,5.51857,100.50645,rapidbus_penang
12001863,MRSM Kepala Batas,5.519430000000001,100.47277,rapidbus_penang
12001872,Taman Sri Menderung,5.51461,100.50602,rapidbus_penang
12002949,Bertam Putra 3,5.5181192,100.4811417,rapidbus_penang
12002950,Pusat Penjaja Bandar Putra Bertam,5.518487599999999,100.4811202,rapidbus_penang
12000059,Pejabat Pos Ayer Itam,5.4041,100.28008,rapidbus_penang
12000151,Kek Lok Si Temple,5.40238,100.27728,rapidbus_penang
12001066,Hotel Cititel,5.42143,100.3337,rapidbus_penang
12002243,Anggerik Villa,5.368602,100.3084,rapidbus_penang
12002245,Jalan Delima 6,5.383780000000001,100.3046,rapidbus_penang
12001215,Sunway Wellesley,5.368530000000001,100.45774,rapidbus_penang
12001216,Pusat Perniagaan Permatang Rawa,5.36862,100.44489,rapidbus_penang
12001176,Pangsapuri Seri Pauh,5.36905,100.42337,rapidbus_penang
12001185,Masjid Permatang Janggus,5.40102,100.41706,rapidbus_penang
12001192,Shell Mak Mandin,5.41427,100.38765,rapidbus_penang
12002604,Kompleks Fareeda,5.405966200000001,100.4151894,rapidbus_penang
12000391,Taman Limbungan Chain Ferry,5.40078,100.37832,rapidbus_penang
12000392,Pusat Perniagaan Chain Ferry I,5.40128,100.37952,rapidbus_penang
12001879,Hospital Seberang Jaya II,5.3931,100.4062,rapidbus_penang
12001881,Hospital Seberang Jaya,5.39454,100.40633,rapidbus_penang
12001996,Pangsapuri RPKN,5.395011,100.40444,rapidbus_penang
12002533,Taman Usahaniaga,5.362278,100.465059,rapidbus_penang
12002534,Taman Machang Bubok III,5.342005,100.50447,rapidbus_penang
12000802,Cheruk Tokun,5.34746,100.4846,rapidbus_penang
12000840,SK Machang Bubok II,5.32764,100.50294,rapidbus_penang
12002540,Sentosa Residence,5.353794000000001,100.4714,rapidbus_penang
12002542,SJK(C) Jit Sin,5.363758,100.462845,rapidbus_penang
12000127,Peladang Sg.Petani,5.6192400000000005,100.47349,rapidbus_penang
12000133,DSOP Sungai Petani,5.63231,100.48248,rapidbus_penang
12001291,(M2) Terminal Jalan Petri,5.63977,100.48807,rapidbus_penang
12000276,Masjid Lama Sungai Bakap,5.221830000000001,100.49725,rapidbus_penang
12000327,Taman Sukun Indah,5.31311,100.46412,rapidbus_penang
12000336,Taman Pulasan Bukit Minyak,5.32445,100.44852,rapidbus_penang
12000887,Sunshine Square,5.3255300000000005,100.28769,rapidbus_penang
12001420,Sungai Tiram,5.30216,100.2761,rapidbus_penang
12001424,Kilang Clarion,5.30821,100.28236,rapidbus_penang
12000064,Maybank Air Itam,5.40482,100.28427,rapidbus_penang
12000403,Jalan Damai,5.33871,100.47378,rapidbus_penang
12001272,SRJK Permatang Tinggi,5.29968,100.47754,rapidbus_penang
12001370,Taman Nirwana,5.32784,100.48575,rapidbus_penang
12001681,Muda Paper II,5.28447,100.51924,rapidbus_penang
12002579,Bandar Tasek Mutiara,5.283273,100.49255,rapidbus_penang
12002581,Taman Seri Impian,5.320972,100.480637,rapidbus_penang
12002583,Kilang Ayamas,5.325512000000001,100.485898,rapidbus_penang
12000056,SM Persendirian Jit Sin,5.36339,100.4632,rapidbus_penang
12000799,Taman Jaya,5.35426,100.47074,rapidbus_penang
12002593,Masjid Jamek Alma Jaya,5.322132,100.478377,rapidbus_penang
12002599,Kampung Tasek Junjung,5.297051000000001,100.52891,rapidbus_penang
12000340,Balai Polis,5.33627,100.50874,rapidbus_penang
12000789,Kampung Janggus,5.3438300000000005,100.496,rapidbus_penang
12000796,Taman Bukit Indah,5.3501,100.47958,rapidbus_penang
12001094,Pejabat MPSP,5.36985,100.43394,rapidbus_penang
12001184,Shell Permatang To' Kandu,5.39384,100.41791,rapidbus_penang
12000350,(M3) Kilang Leader Steel,5.340330000000001,100.43884,rapidbus_penang
12000351,Balai Polis Bukit Tengah,5.34661,100.43484,rapidbus_penang
12000355,Taman Indah,5.35732,100.42726,rapidbus_penang
12001264,SMK Simpang Empat,5.2792,100.47689,rapidbus_penang
12000177,(M2) Mydin Mall,5.36972,100.41517,rapidbus_penang
12000273,Balai Polis Sungai Bakap,5.21584,100.49724,rapidbus_penang
12000328,Taman Sukun Indah,5.31439,100.46295,rapidbus_penang
12000918,Super-Rider Motor Sdn Bhd,5.18075,100.48394,rapidbus_penang
12001263,SMK Simpang Empat,5.27778,100.47687,rapidbus_penang
12001482,Perkampungan Jawi,5.21173,100.49705,rapidbus_penang
12002338,RTC Jalan Simpang Empat,5.262094,100.472864,rapidbus_penang
12002348,Masjid Kampung Setol,5.372746,100.409622,rapidbus_penang
12000703,Masjid Permatang Kebun Sireh,5.36085,100.43733,rapidbus_penang
12000958,Taman Desa Damai,5.36532,100.44327,rapidbus_penang
12001453,Restoran Kampung Ku,5.366709999999999,100.31078,rapidbus_penang
12001498,SRJK Keong Hoe,5.34655,100.29575,rapidbus_penang
12002314,Mutiara Vista,5.398549,100.320515,rapidbus_penang
12000296,(M3) Hotel Vistana,5.33655,100.2913,rapidbus_penang
12002214,Hub Padang Kawad,5.3560444,100.29454040000002,rapidbus_penang
12003018,Desasiswa Indah Kembara,5.355855,100.29519,rapidbus_penang
12003019,Jabatan Keselamatan,5.355061,100.297966,rapidbus_penang
12003024,Dewan Budaya,5.356643,100.30398,rapidbus_penang
12003026,Desasiswa Harapan,5.354758,100.3004,rapidbus_penang
12000267,Jalan Besar,5.13523,100.46947,rapidbus_penang
12002346,Bank Rakyat Perda,5.366926,100.435744,rapidbus_penang
12002347,Allagapas,5.36458,100.426927,rapidbus_penang
12001099,Permatang Batu,5.36439,100.43153,rapidbus_penang
12002015,Flat Boon Siew,5.45615,100.28251,rapidbus_penang
12000027,Dell,5.307167,100.29253,rapidbus_penang
12000030,Brady Technology,5.305717,100.29559,rapidbus_penang
12002049,Mini Circuits,5.294636,100.290985,rapidbus_penang
12002069,Jeti Pulau Jerejak,5.34301,100.31122,rapidbus_penang
12000013,Intel PG12,5.328467,100.30004,rapidbus_penang
12000874,Dynacraft Industries,5.305075,100.27721,rapidbus_penang
12000807,Pepper Estate,5.454606,100.29941,rapidbus_penang
12000812,Tenby School,5.458625,100.28201,rapidbus_penang
12001411,Menara KWSP,5.42341,100.3304,rapidbus_penang
12000195,YGGS World,5.29422,100.27915,rapidbus_penang
12000196,Pasar Batu Maung,5.29516,100.27979,rapidbus_penang
12000240,Pejabat Pos Batu Maung,5.285419999999999,100.28663,rapidbus_penang
12000311,Taman Bukit Gambir,5.37312,100.29845,rapidbus_penang
12000584,Masjid Jelutong,5.39272,100.31461,rapidbus_penang
12000610,Kampung Kolam,5.41606,100.33669,rapidbus_penang
