NAME_1,area_km2,compactness,fractal_dimension,num_vertices,perimeter_km
Johor,19140.814017175522,0.20949650075577783,1.0558440415902364,954.0,1065.4949562880126
Kedah,9620.307764759802,0.37680572625042563,1.03202331148775,446.0,551.9016041922953
Kelantan,15259.807026615967,0.32084300638188457,1.0381792566684094,588.0,773.0249362243566
KualaLumpur,272.99272147131194,0.6794455185555349,1.0074601844329787,48.0,71.05639119113557
Labuan,91.44406192096083,0.32930710469959035,1.047466197329757,63.0,58.50597730303087
Melaka,1656.7828075744435,0.4878069727894316,1.022437041700507,132.0,206.47374173005042
NegeriSembilan,6682.435228944161,0.4899934444776493,1.0208550645295513,235.0,413.9770784593446
Pahang,36006.10496946177,0.31278486204484635,1.0378770327049494,729.0,1202.7337289844506
Perak,21058.459273548906,0.1994728036351769,1.05768628878902,968.0,1144.6031963591813
Perlis,834.5626981856446,0.4780137339422183,1.024172000059633,122.0,148.1201794180033
PulauPinang,1063.7238900583848,0.3755594880898646,1.036095290688963,108.0,158.73475488311692
Putrajaya,61.88532182417761,0.8768116525786608,0.9938630695580849,10.0,29.78143378930221
Sabah,74560.8340196739,0.06142196072903015,1.1018899407098839,4584.0,3860.361247527397
Sarawak,124085.82115862792,0.09723839249765055,1.081815600359222,3288.0,3982.716893199603
Selangor,7850.695454339793,0.18555610925572202,1.0634560003760083,467.0,712.4622791578724
Trengganu,12983.945117474357,0.3300487164838592,1.037233098600459,464.0,702.1988863126845
