date,rainfall_mm__MY01,rainfall_mm__MY02,rainfall_mm__MY03,rainfall_mm__MY04,rainfall_mm__MY05,rainfall_mm__MY06,rainfall_mm__MY07,rainfall_mm__MY08,rainfall_mm__MY09,rainfall_mm__MY10,rainfall_mm__MY11,rainfall_mm__MY12,rainfall_mm__MY13,rainfall_mm__MY15,rainfall_mm__MY17,rainfall_avg_mm__MY01,rainfall_avg_mm__MY02,rainfall_avg_mm__MY03,rainfall_avg_mm__MY04,rainfall_avg_mm__MY05,rainfall_avg_mm__MY06,rainfall_avg_mm__MY07,rainfall_avg_mm__MY08,rainfall_avg_mm__MY09,rainfall_avg_mm__MY10,rainfall_avg_mm__MY11,rainfall_avg_mm__MY12,rainfall_avg_mm__MY13,rainfall_avg_mm__MY15,rainfall_avg_mm__MY17,acc_1mo_mm__MY01,acc_1mo_mm__MY02,acc_1mo_mm__MY03,acc_1mo_mm__MY04,acc_1mo_mm__MY05,acc_1mo_mm__MY06,acc_1mo_mm__MY07,acc_1mo_mm__MY08,acc_1mo_mm__MY09,acc_1mo_mm__MY10,acc_1mo_mm__MY11,acc_1mo_mm__MY12,acc_1mo_mm__MY13,acc_1mo_mm__MY15,acc_1mo_mm__MY17,acc_1mo_avg_mm__MY01,acc_1mo_avg_mm__MY02,acc_1mo_avg_mm__MY03,acc_1mo_avg_mm__MY04,acc_1mo_avg_mm__MY05,acc_1mo_avg_mm__MY06,acc_1mo_avg_mm__MY07,acc_1mo_avg_mm__MY08,acc_1mo_avg_mm__MY09,acc_1mo_avg_mm__MY10,acc_1mo_avg_mm__MY11,acc_1mo_avg_mm__MY12,acc_1mo_avg_mm__MY13,acc_1mo_avg_mm__MY15,acc_1mo_avg_mm__MY17,anomaly_rf__MY01,anomaly_rf__MY02,anomaly_rf__MY03,anomaly_rf__MY04,anomaly_rf__MY05,anomaly_rf__MY06,anomaly_rf__MY07,anomaly_rf__MY08,anomaly_rf__MY09,anomaly_rf__MY10,anomaly_rf__MY11,anomaly_rf__MY12,anomaly_rf__MY13,anomaly_rf__MY15,anomaly_rf__MY17,anomaly_1mo__MY01,anomaly_1mo__MY02,anomaly_1mo__MY03,anomaly_1mo__MY04,anomaly_1mo__MY05,anomaly_1mo__MY06,anomaly_1mo__MY07,anomaly_1mo__MY08,anomaly_1mo__MY09,anomaly_1mo__MY10,anomaly_1mo__MY11,anomaly_1mo__MY12,anomaly_1mo__MY13,anomaly_1mo__MY15,anomaly_1mo__MY17,anomaly_3mo__MY01,anomaly_3mo__MY02,anomaly_3mo__MY03,anomaly_3mo__MY04,anomaly_3mo__MY05,anomaly_3mo__MY06,anomaly_3mo__MY07,anomaly_3mo__MY08,anomaly_3mo__MY09,anomaly_3mo__MY10,anomaly_3mo__MY11,anomaly_3mo__MY12,anomaly_3mo__MY13,anomaly_3mo__MY15,anomaly_3mo__MY17
2019-01-01,21.017685,95.94827,188.23505,31.333334,32.2,13.773585,17.119816,43.818104,100.51935,52.11905,70.03226,56.78604,96.85487,149.39664,41.480316,100.24657,36.81517,107.75285,73.91482,81.333336,42.291195,57.937172,103.77095,70.50863,24.020636,40.83656,95.2145,133.04828,153.06058,77.026115,196.31993,239.77585,603.92163,211.22221,181.4,123.35849,167.7235,296.10406,322.98956,149.40475,171.48387,255.23474,309.81766,710.8629,243.29135,337.89624,152.15115,464.76672,243.45926,295.64,182.57108,243.20769,431.99734,262.27505,91.363495,134.51828,299.5567,399.57355,689.78687,263.56418,24.720697,241.41544,171.37929,46.04121,43.088802,39.697845,35.14587,44.881565,139.74475,196.82219,163.69522,61.653793,73.78207,97.68194,56.665264,58.711617,155.75822,129.62213,87.02522,62.00106,68.43192,69.588295,68.902954,122.71612,160.2316,126.495155,85.44705,77.81469,103.03346,92.45141,75.27603,98.83039,106.45833,106.24036,74.520874,87.34593,88.95719,84.46107,105.56897,90.71018,94.74564,88.5259,97.35344,97.165955,107.3089
2019-01-02,28.6726695,87.31827059999999,175.05505,34.9444446,31.840000000000003,15.230188700000001,19.4857144,46.8007606,94.70997440000001,47.790478300000004,65.6903244,57.024136999999996,97.678239,148.50625399999998,44.0826784,98.50627,36.0426645,104.08019,72.8007455,80.7026689,41.5827672,56.8341,101.3467824,68.99687399999999,23.1789693,39.7892481,94.773604,132.4374446,147.78735899999998,75.6152489,196.771378,231.55653999999998,574.847197,208.188878,180.880001,119.866037,163.897692,286.06895000000003,312.680336,144.119037,168.10645,255.863906,309.835967,682.6059369999999,238.435443,335.368094,149.034426,453.901526,242.06,293.415334,179.403342,239.209901,424.104491,258.55692500000004,89.23103449999999,132.7192474,298.85938,400.77376300000003,672.39597,261.159888,33.9247839,221.57082359999998,162.322129,52.1261965,42.9785222,44.0200715,40.450765000000004,49.697246500000006,133.623356,183.853888,156.265129,62.1860437,74.747703,101.727003,61.6740406,59.3210858,153.08744,125.470891,86.2508566,62.309731,67.5821682,69.08701450000001,67.619205,120.2186665,157.741106,125.5885899,85.85870200000001,77.5948894,101.0486336,91.374568,75.19472300000001,99.023096,106.14211900000001,105.737627,73.4156616,86.819564,88.423572,83.78197800000001,105.096323,91.365713,95.1662794,88.05743,96.88408100000001,97.0140965,106.833845
2019-01-03,36.327654,78.6882712,161.87505,38.5555552,31.480000000000004,16.6867924,21.851612799999998,49.7834172,88.9005988,43.4619066,61.348388799999995,57.262234,98.501608,147.615868,46.6850408,96.76597000000001,35.270159,100.40753,71.686671,80.0720018,40.874339400000004,55.731027999999995,98.9226148,67.485118,22.3373026,38.7419362,94.332708,131.8266092,142.514138,74.2043828,197.222826,223.33723,545.772764,205.155546,180.360002,116.37358400000001,160.071884,276.03384,302.371112,138.833324,164.72903,256.493072,309.854274,654.348974,233.579536,332.839948,145.917702,443.036332,240.66074,291.190668,176.235604,235.21211200000002,416.211642,254.83880000000002,87.098574,130.9202148,298.16206,401.973976,655.00507,258.755596,43.1288708,201.72620719999998,153.264968,58.211183,42.8682424,48.342298,45.755660000000006,54.512928,127.501962,170.88558600000002,148.835038,62.7182944,75.713336,105.772066,66.6828172,59.930554599999994,150.41666,121.319652,85.47649320000001,62.618402,66.7324164,68.585734,66.335456,117.721213,155.250612,124.6820248,86.270354,77.3750888,99.0638072,90.297726,75.113416,99.215802,105.825908,105.234894,72.31044920000001,86.29319799999999,87.889954,83.10288600000001,104.62367599999999,92.02124599999999,95.58691879999999,87.58896,96.41472200000001,96.86223799999999,106.35879
2019-01-04,43.9826385,70.0582718,148.69504999999998,42.166665800000004,31.12,18.1433961,24.2175112,52.7660738,83.0912232,39.1333349,57.006453199999996,57.500331,99.324977,146.725482,49.2874032,95.02567,34.4976535,96.73487,70.5725965,79.4413347,40.1659116,54.627956,96.4984472,65.973362,21.4956359,37.6946243,93.891812,131.2157738,137.240917,72.7935167,197.674274,215.11792,516.698331,202.12221399999999,179.840003,112.88113100000001,156.246076,265.99873,292.061888,133.54761100000002,161.35161,257.122238,309.87258099999997,626.092011,228.723629,330.311802,142.800978,432.17113800000004,239.26148,288.966002,173.06786599999998,231.214323,408.318793,251.120675,84.9661135,129.1211822,297.46474,403.174189,637.6141700000001,256.351304,52.3329577,181.8815908,144.207807,64.2961695,42.7579626,52.6645245,51.060555,59.3286095,121.38056800000001,157.917284,141.404947,63.2505451,76.67896900000001,109.817129,71.69159379999999,60.540023399999995,147.74588,117.168413,84.70212980000001,62.92707300000001,65.8826646,68.0844535,65.051707,115.2237595,152.76011799999998,123.7754597,86.682006,77.1552882,97.07898080000001,89.220884,75.032109,99.408508,105.509697,104.73216099999999,71.20523680000001,85.766832,87.356336,82.423794,104.151029,92.676779,96.00755819999999,87.12048999999999,95.945363,96.7103795,105.883735
2019-01-05,51.637623000000005,61.4282724,135.51505,45.7777764,30.76,19.5999998,26.5834096,55.7487304,77.28184759999999,34.8047632,52.664517599999996,57.738428,100.148346,145.835096,51.889765600000004,93.28537,33.725148000000004,93.06221,69.458522,78.8106676,39.4574838,53.524884,94.0742796,64.461606,20.6539692,36.6473124,93.45091599999999,130.6049384,131.967696,71.3826506,198.125722,206.89861,487.62389800000005,199.08888199999998,179.320004,109.388678,152.420268,255.96362,281.752664,128.261898,157.97419,257.751404,309.89088799999996,597.835048,223.867722,327.783656,139.684254,421.305944,237.86222,286.741336,169.900128,227.21653400000002,400.425944,247.40255000000002,82.833653,127.3221496,296.76742,404.374402,620.2232700000001,253.94701200000003,61.5370446,162.0369744,135.150646,70.381156,42.6476828,56.986751,56.36545,64.14429100000001,115.259174,144.948982,133.97485600000002,63.782795799999995,77.644602,113.862192,76.7003704,61.1494922,145.0751,113.017174,83.92776640000001,63.235744000000004,65.0329128,67.583173,63.76795799999999,112.72630600000001,150.269624,122.86889459999999,87.093658,76.9354876,95.09415440000001,88.144042,74.950802,99.601214,105.19348600000001,104.229428,70.10002440000001,85.240466,86.822718,81.744702,103.678382,93.332312,96.42819759999999,86.65202,95.476004,96.558521,105.40868
2019-01-06,59.2926075,52.798272999999995,122.33505,49.388887,30.400000000000002,21.0566035,28.949308,58.731387,71.472472,30.4761915,48.322582,57.976524999999995,100.971715,144.94471,54.492128,91.54507000000001,32.9526425,89.38955,68.3444475,78.1800005,38.749055999999996,52.421812,91.65011200000001,62.94985,19.8123025,35.6000005,93.01002,129.994103,126.694475,69.9717845,198.57717,198.6793,458.54946500000005,196.05554999999998,178.800005,105.896225,148.59446,245.92851000000002,271.44344,122.976185,154.59677,258.38057000000003,309.90919499999995,569.578085,219.011815,325.25550999999996,136.56753,410.44075,236.46296,284.51667,166.73239,223.218745,392.533095,243.684425,80.70119249999999,125.523117,296.0701,405.574615,602.8323700000001,251.54272000000003,70.7411315,142.19235799999998,126.093485,76.4661425,42.537403,61.3089775,61.670345000000005,68.9599725,109.13778,131.98068,126.54476500000001,64.3150465,78.610235,117.90725499999999,81.709147,61.758961,142.40431999999998,108.86593500000001,83.153403,63.544415,64.183161,67.08189250000001,62.48420899999999,110.2288525,147.77913,121.9623295,87.50531000000001,76.715687,93.109328,87.0672,74.869495,99.79392,104.877275,103.726695,68.994812,84.7141,86.28909999999999,81.06561,103.205735,93.987845,96.848837,86.18355,95.006645,96.4066625,104.933625
2019-01-07,66.947592,44.1682736,109.15504999999999,52.9999976,30.040000000000003,22.5132072,31.3152064,61.714043600000004,65.6630964,26.1476198,43.9806464,58.214622,101.795084,144.054324,57.0944904,89.80477,32.180137,85.71689,67.230373,77.5493334,38.0406282,51.31874,89.2259444,61.438094,18.9706358,34.552688599999996,92.569124,129.3832676,121.421254,68.5609184,199.028618,190.45999,429.475032,193.022218,178.280006,102.403772,144.768652,235.8934,261.134216,117.690472,151.21935,259.00973600000003,309.927502,541.3211220000001,214.155908,322.72736399999997,133.450806,399.575556,235.06369999999998,282.292004,163.564652,219.220956,384.640246,239.9663,78.568732,123.7240844,295.37278,406.774828,585.44147,249.138428,79.9452184,122.34774159999999,117.03632400000001,82.551129,42.427123200000004,65.631204,66.97524,73.775654,103.01638600000001,119.01237800000001,119.11467400000001,64.8472972,79.575868,121.95231799999999,86.71792359999999,62.368429799999994,139.73354,104.714696,82.3790396,63.853086000000005,63.333409200000006,66.580612,61.20045999999999,107.73139900000001,145.288636,121.0557644,87.916962,76.4958864,91.1245016,85.990358,74.788188,99.986626,104.561064,103.223962,67.8895996,84.18773399999999,85.755482,80.38651800000001,102.733088,94.643378,97.2694764,85.71508,94.53728600000001,96.254804,104.45857
2019-01-08,74.6025765,35.538274200000004,95.97505,56.611108200000004,29.680000000000003,23.9698109,33.6811048,64.69670020000001,59.8537208,21.8190481,39.6387108,58.452719,102.618453,143.163938,59.6968528,88.06447,31.4076315,82.04423,66.1162985,76.9186663,37.3322004,50.215668,86.8017768,59.926338,18.1289691,33.5053767,92.128228,128.7724322,116.148033,67.1500523,199.480066,182.24068,400.400599,189.988886,177.760007,98.911319,140.942844,225.85829,250.824992,112.404759,147.84193,259.63890200000003,309.945809,513.064159,209.300001,320.199218,130.334082,388.71036200000003,233.66443999999998,280.067338,160.39691399999998,215.22316700000002,376.747397,236.248175,76.4362715,121.92505179999999,294.67546,407.975041,568.05057,246.734136,89.14930530000001,102.5031252,107.979163,88.6361155,42.3168434,69.9534305,72.280135,78.59133550000001,96.894992,106.044076,111.684583,65.37954789999999,80.541501,125.99738099999999,91.7267002,62.977898599999996,137.06276,100.563457,81.6046762,64.16175700000001,62.4836574,66.0793315,59.916711,105.2339455,142.79814199999998,120.14919929999999,88.328614,76.2760858,89.1396752,84.913516,74.706881,100.179332,104.244853,102.721229,66.7843872,83.661368,85.221864,79.70742600000001,102.260441,95.298911,97.6901158,85.24661,94.06792700000001,96.10294549999999,103.983515
2019-01-09,97.56753,9.648276,56.43505,67.44444,28.6,28.339622,40.7788,73.64467,42.425594,8.833333,26.612904,59.16701,105.08856,140.49278,67.50394,82.84357,29.090115,71.02625,62.774075,75.026665,35.206917,46.906452,79.529274,55.39107,15.603969,30.363441,90.80554,126.939926,100.32837,62.917454,200.83441,157.58275,313.1773,180.88889,176.20001,88.43396,129.46542,195.75296,219.89732,96.54762,137.70967,261.5264,310.00073,428.29327,194.73228,312.61478,120.98391,356.11478,229.46666,273.39334,150.8937,203.2298,353.06885,225.0938,70.03889,116.527954,292.5835,411.57568,515.87787,239.52126,116.761566,42.969276,80.80768,106.891075,41.986004,82.92011,88.19482,93.03838,78.53081,67.13917,89.39431,66.9763,83.4384,138.13257,106.75303,64.806305,129.05042,88.10974,79.281586,65.08777,59.934402,64.57549,56.065464,97.741585,135.32666,117.429504,89.56357,75.616684,83.185196,81.68299,74.46296,100.75745,103.29622,101.21303,63.46875,82.08227,83.62101,77.67015,100.8425,97.26551,98.952034,83.8412,92.65985,95.64737,102.55835
2019-01-10,97.56753,9.648276,56.43505,67.44444,28.6,28.339622,40.7788,73.64467,42.425594,8.833333,26.612904,59.16701,105.08856,140.49278,67.50394,82.84357,29.090115,71.02625,62.774075,75.026665,35.206917,46.906452,79.529274,55.39107,15.603969,30.363441,90.80554,126.939926,100.32837,62.917454,200.83441,157.58275,313.1773,180.88889,176.20001,88.43396,129.46542,195.75296,219.89732,96.54762,137.70967,261.5264,310.00073,428.29327,194.73228,312.61478,120.98391,356.11478,229.46666,273.39334,150.8937,203.2298,353.06885,225.0938,70.03889,116.527954,292.5835,411.57568,515.87787,239.52126,116.761566,42.969276,80.80768,106.891075,41.986004,82.92011,88.19482,93.03838,78.53081,67.13917,89.39431,66.9763,83.4384,138.13257,106.75303,64.806305,129.05042,88.10974,79.281586,65.08777,59.934402,64.57549,56.065464,97.741585,135.32666,117.429504,89.56357,75.616684,83.185196,81.68299,74.46296,100.75745,103.29622,101.21303,63.46875,82.08227,83.62101,77.67015,100.8425,97.26551,98.952034,83.8412,92.65985,95.64737,102.55835
