stop_id,stop_name,stop_lat,stop_lon,operator,route_id,nearest_grid_dist_km,density_per_km2,density_log
50500,Taman Wahyu,3.21451,101.672178,ktmb,,0.3947178627339129,6465.142578125,8.774335008479172
50600,BATU CAVES,3.237796,101.681215,ktmb,,0.37468773121029103,9461.38671875,9.15507992607563
52800,Angkasapuri,3.113212,101.673367,ktmb,,0.43848544151747765,8293.48828125,9.023346510697527
52900,Pantai Dalam,3.095607,101.669927,ktmb,,0.04366245440457322,6524.787109375,8.783516854704978
53000,PETALING,3.086485,101.664338,ktmb,,0.34931431165824817,6799.51953125,8.824754289900152
47300,PADANG BESAR,6.662205,100.319514,ktmb,,0.015506880380054485,2035.8896484375,7.619179241189164
54500,Bukit Badak,3.036147,101.470176,ktmb,,0.12321177442874212,3401.947509765625,8.13239724968774
54700,KLANG,3.043078,101.449543,ktmb,,0.45599603972159136,2253.89697265625,7.720859562492256
50400,Kampung Batu,3.204892,101.675584,ktmb,,0.28838343468438815,8328.1044921875,9.02751122544285
53600,SETIA JAYA,3.083373,101.61143,ktmb,,0.4130777618156266,7328.16455078125,8.899616811683803
53700,SUBANG JAYA,3.084554,101.587373,ktmb,,0.307688037937598,5905.00439453125,8.683724806382706
36700,Skudai,1.557728,103.668209,ktmb,,0.4679335720963999,2059.62255859375,7.630763429036091
400,BUKIT TENGAH,5.3646,100.42173,ktmb,,0.3671497175163207,6127.39990234375,8.720688967506566
600,BUKIT MERTAJAM,5.365998,100.447993,ktmb,,0.5761789442534375,4721.64013671875,8.460123273200876
5700,PADANG RENGAS,4.777932,100.857424,ktmb,,0.4335625401983402,500.9693298339844,6.218539021877057
6300,Kuala Kangsar,4.776524,100.932601,ktmb,,0.47405956626241935,2505.15234375,7.8265039252084385
7300,SUNGAI SIPUT,4.818757,101.071261,ktmb,,0.26198437690672466,2256.539306640625,7.722030696719018
8600,TASEK,4.65289,101.12028,ktmb,,0.12295053777340678,2653.175048828125,7.883889169321529
9000,IPOH,4.597526,101.07333,ktmb,,0.47695731381557416,4959.68798828125,8.509299717414772
1700,Nibong Tebal,5.16942,100.47965,ktmb,,0.22169681923740728,3503.8671875,8.16190790645404
1900,PARIT BUNTAR,5.130571,100.486575,ktmb,,0.20564736705284586,4457.1357421875,8.402485962604613
2600,BAGAN SERAI,5.028068,100.527197,ktmb,,0.11000777542872382,713.6326293945312,6.5717686056083515
1000,SIMPANG AMPAT,5.28599,100.48097,ktmb,,0.3593136618386584,2856.51416015625,7.957707351091946
3300,BUKIT MERAH,5.0419,100.64617,ktmb,,0.42875042803250446,203.5543670654297,5.320833793770728
4500,KAMUNTING,4.89589,100.7191,ktmb,,0.07503813894779218,4000.50341796875,8.294425423978609
4700,Taiping,4.852059,100.731489,ktmb,,0.43824243303428173,4371.20849609375,8.383023537110342
43100,Kobah,5.97233,100.44068,ktmb,,0.4812087645168014,589.0115966796875,6.380142192095901
44000,Alor Star,6.113136,100.369291,ktmb,,0.12140060873797467,3733.36669921875,8.225333524748159
43500,TOKAI,6.029316,100.408681,ktmb,,0.29092126044243244,909.7510375976561,6.814269575166263
44900,Kodiang,6.37066,100.30266,ktmb,,0.039154512308324695,485.2151184082031,6.186651156438079
45800,ARAU,6.431952,100.269002,ktmb,,0.3617666229486821,2376.62109375,7.773855726350673
46300,BUKIT KATRI,6.52375,100.25713,ktmb,,0.5869379166246351,725.6200561523436,6.588403722148162
50000,SENTUL,3.183581,101.688802,ktmb,,0.48164614040397863,5050.16796875,8.527374776468687
37400,HOLIDAY PLAZA,1.488583,103.759833,ktmb,,0.22933638787772687,6793.09765625,8.82380952251331
35500,SEDENAK,1.712253,103.522491,ktmb,,0.32376706413506595,187.3245391845703,5.238166746792903
37600,Woodlands,1.443716,103.769551,ktmb,,2.0423796997280337,5905.779296875,8.68385600362886
40500,TASEK GELUGOR,5.482175,100.497955,ktmb,,0.5332305558780078,1638.7247314453125,7.402283660050727
41400,SUNGAI PETANI,5.642978,100.489755,ktmb,,0.47328956111868314,3644.521484375,8.201254702625087
37500,JB SENTRAL,1.463147,103.764445,ktmb,,0.37436400446582396,5942.35546875,8.690029146593245
42400,GURUN,5.824291,100.477451,ktmb,,0.4338496513261143,1679.803955078125,7.427027502620671
68700,Jerantut,3.937265,102.357945,ktmb,,0.36714269028704816,3274.861572265625,8.094336188972015
69100,PADANG PIOL,4.0011,102.4022,ktmb,,0.3052103496651123,25.93156242370605,3.2932989231021366
69400,TEMBELING,4.3373,102.3006,ktmb,,0.2579453335899562,1.633746862411499,0.968407494834745
69600,Mela,4.10555,102.3154,ktmb,,0.5019421291573278,8.951952934265137,2.297768806711639
70000,SUNGAI LIK,4.0889,102.2087,ktmb,,0.3475090006054822,50.915863037109375,3.9496243896586414
70200,Krambit,4.117319,102.19952,ktmb,,0.5104301711705349,64.07891845703125,4.175600663543896
63700,Kemayan,3.135827,102.370571,ktmb,,0.1776410315750406,1998.4698486328125,7.60063734871972
64100,Mengkuang,5.330575,102.203137,ktmb,,0.2043764639066564,137.07089233398435,4.927767265817181
64400,Triang,3.246451,102.411322,ktmb,,0.11527163016400678,1691.4742431640625,7.433946786451466
71300,KUALA LIPIS,4.186634,102.053791,ktmb,,0.10912670503661336,2603.987548828125,7.865183174455555
8000,CHEMOR,4.81887,101.0713,ktmb,,0.25647825985435263,2256.539306640625,7.722030696719018
9400,LAHAT,4.54219,101.05266,ktmb,,0.359932640836051,1854.2125244140625,7.52575453689636
9700,BATU GAJAH,4.459894,101.0493,ktmb,,0.4690307718607204,703.2737426757812,6.557167119607837
10200,KOTA BHARU (PK),4.4026,101.07912,ktmb,,0.18484302998821522,142.0589141845703,4.963256532721127
10900,KAMPAR,4.302787,101.153512,ktmb,,0.12583347396291733,2378.354248046875,7.774584405500357
12900,SUNGKAI,4.006223,101.301512,ktmb,,0.31601957621127147,1653.376953125,7.411179753562459
14100,SLIM RIVER,3.827134,101.402164,ktmb,,0.19814753928158108,2061.864990234375,7.631851067514505
14600,BEHRANG,3.745477,101.450007,ktmb,,0.32287459107158245,1096.65625,7.00093250383632
15200,TANJUNG MALIM,3.685142,101.518165,ktmb,,0.2671400981324767,2509.88134765625,7.8283891050169325
17300,Serendah,3.376172,101.614532,ktmb,,0.4636149014644381,602.09619140625,6.402076705408399
17800,RAWANG,3.318955,101.575012,ktmb,,0.3610590809238837,3693.7587890625,8.21467055088947
11600,TAPAH ROAD,4.173861,101.189333,ktmb,,0.5134162162510139,593.252197265625,6.387303803777641
16100,KUALA KUBU BARU,3.553215,101.639591,ktmb,,0.3755766325263313,237.6829376220703,5.4751360503629165
18500,SUNGAI BULUH,3.206356,101.580128,ktmb,,0.3798031614838486,6835.38720703125,8.830014684970635
18600,KEPONG,3.202996,101.637381,ktmb,,0.15103149009566164,9543.494140625,9.163719737440092
18700,Segambut,3.186514,101.664032,ktmb,,0.31533440987169836,8306.0712890625,9.024862393608254
18800,Putra,3.165399,101.691101,ktmb,,0.5341908915881551,7587.3212890625,8.93436567189053
18900,Bank Negara,3.155105,101.693118,ktmb,,0.22169499707310195,7198.00146484375,8.881697609948064
19000,KUALA LUMPUR,3.139444,101.693333,ktmb,,0.2969027830656504,5520.30810546875,8.616370086825249
15400,KALUMPANG,3.5566,101.5612,ktmb,,0.31693195500774934,16.78849983215332,2.8785521716551377
19100,KL SENTRAL,3.134167,101.686111,ktmb,,0.3246679784757665,5211.45556640625,8.558806341640269
19300,Seputih,3.113612,101.681474,ktmb,,0.4300288850192845,6133.96435546875,8.72175954709859
