date,adm_level,adm_id,PCODE,n_pixels,rainfall_mm,rainfall_avg_mm,acc_1mo_mm,acc_1mo_avg_mm,acc_3mo_mm,acc_3mo_avg_mm,anomaly_rf,anomaly_1mo,anomaly_3mo,state_pcode
2019-02-01,1,1891,MY01,622,5.3649516,47.915485,138.07234,224.09239,569.246,867.04315,19.587748,62.45181,65.85064,MY01
2019-02-01,1,1892,MY02,290,25.84138,23.372068,42.04138,87.6792,473.45862,488.11334,108.703316,50.757217,97.02812,MY02
2019-02-01,1,1893,MY03,485,9.971134,27.661375,78.10103,182.06378,1070.9299,1139.8756,45.837425,44.4239,93.97789,MY03
2019-02-01,1,1894,MY04,9,48.0,60.72963,161.66666,199.53333,647.11115,737.7074,80.63335,81.486305,87.801895,MY04
2019-02-01,1,37336,MY05,5,11.8,47.48,142.0,194.13333,565.8,836.67334,32.012196,73.819885,67.81728,MY05
2019-02-01,1,1895,MY06,53,8.264151,31.66415,51.830185,102.777985,361.92453,521.5383,36.177437,52.72894,69.686195,MY06
2019-02-01,1,1896,MY07,217,10.341014,36.584946,71.700455,129.65085,466.63596,663.7401,36.890785,56.96247,70.52605,MY07
2019-02-01,1,1897,MY08,1182,10.537225,44.38494,106.68274,203.20332,688.73773,1049.7896,31.461462,53.64119,65.77025,MY08
2019-02-01,1,1898,MY09,672,52.581844,39.38651,125.36607,162.8558,717.2917,750.56744,129.72826,77.66551,95.595924,MY09
2019-02-01,1,1899,MY10,42,6.3095236,11.595238,17.714285,44.074604,318.7143,332.28888,68.14921,46.285213,95.97538,MY10
2019-02-01,1,1900,MY11,31,56.322582,32.731182,105.09677,105.10753,484.09674,467.8344,162.52493,99.990234,103.43933,MY11
2019-02-01,1,1901,MY12,2407,18.64811,85.9525,246.72952,263.56702,757.3029,825.30426,26.000505,93.73061,91.810074,MY12
2019-02-01,1,1902,MY13,4031,96.51104,116.49151,362.7832,382.17368,1060.2476,1156.2256,83.554016,94.99179,91.734764,MY13
2019-02-01,1,1904,MY15,416,19.408653,34.4,181.6947,235.38806,1435.8269,1619.6406,61.950893,77.66388,88.68588,MY15
2019-02-01,1,1903,MY17,254,61.913387,51.30761,177.55905,186.29947,771.66534,812.93884,118.835434,95.43103,94.95396,MY17
2019-02-11,1,1891,MY01,622,49.13987,37.718487,89.64469,178.96732,540.66235,810.7472,126.73639,51.446472,66.89111,MY01
2019-02-11,1,1892,MY02,290,45.38276,37.9677,77.77586,96.556786,446.0138,435.2999,117.257286,81.50697,102.43333,MY02
2019-02-11,1,1893,MY03,485,66.11546,39.27237,87.78144,150.3099,1047.0721,1027.1053,160.6317,59.739555,101.93456,MY03
2019-02-11,1,1894,MY04,9,95.111115,60.64074,189.33334,197.4,659.66675,689.4482,152.5137,96.014496,95.7115,MY04
2019-02-11,1,37336,MY05,5,12.8,42.886665,126.200005,161.99333,457.6,755.4267,37.171097,78.56602,60.834267,MY05
2019-02-11,1,1895,MY06,53,50.90566,33.872326,74.396225,101.4434,363.8868,470.71823,143.81866,74.59009,77.54314,MY06
2019-02-11,1,1896,MY07,217,52.59447,34.02673,83.51613,116.77112,446.82028,599.3653,147.57698,72.690575,74.75947,MY07
2019-02-11,1,1897,MY08,1182,63.780033,35.62442,96.8181,159.29848,671.3731,966.7734,169.3071,61.97142,69.601944,MY08
2019-02-11,1,1898,MY09,672,68.19345,50.67262,151.13393,158.13734,700.0774,689.39044,131.47118,95.70704,101.53904,MY09
2019-02-11,1,1899,MY10,42,18.714285,20.009523,27.595238,48.48016,274.2857,276.06668,94.821014,60.948284,99.36635,MY10
2019-02-11,1,1900,MY11,31,53.677418,48.749462,132.16129,123.493546,464.41934,428.92365,109.16839,106.74566,108.18017,MY11
2019-02-11,1,1901,MY12,2407,22.126299,83.10173,209.68883,255.8632,698.1172,826.5783,30.789745,82.299385,84.55213,MY12
2019-02-11,1,1902,MY13,4031,138.79732,111.43038,396.49194,366.66412,1064.3538,1143.2156,123.504974,108.02548,93.13179,MY13
2019-02-11,1,1904,MY15,416,53.716347,43.64367,94.918274,178.70337,1376.9902,1459.5908,120.70707,54.39109,94.36016,MY15
2019-02-11,1,1903,MY17,254,73.09055,51.848164,183.14566,175.23018,739.9567,728.1035,137.3669,104.39188,101.61686,MY17
2019-02-21,1,1891,MY01,622,2.8520901,31.283012,57.35691,116.916985,462.8328,752.45807,21.64123,51.147026,61.763527,MY01
2019-02-21,1,1892,MY02,290,7.375862,30.14862,78.6,91.48839,418.93103,380.64804,35.210094,86.64255,109.926926,MY02
2019-02-21,1,1893,MY03,485,4.719588,36.91072,80.80618,103.84447,1001.56287,914.7802,23.191172,78.833755,109.43515,MY03
2019-02-21,1,1894,MY04,9,21.11111,57.477776,164.22223,178.84814,565.6666,644.93335,41.792637,92.04457,87.80387,MY04
2019-02-21,1,37336,MY05,5,3.2,30.04,27.800001,120.40667,408.59998,669.62,23.401825,26.154911,61.308586,MY05
2019-02-21,1,1895,MY06,53,2.962264,34.131447,62.132072,99.66792,282.83017,431.7547,20.347483,64.13815,65.902016,MY06
2019-02-21,1,1896,MY07,217,4.56682,32.873577,67.502304,103.48525,360.1567,540.5178,25.25988,66.83148,66.93763,MY07
2019-02-21,1,1897,MY08,1182,3.8087986,32.78522,78.12606,112.794586,583.1269,873.82434,23.312815,70.56866,66.92201,MY08
2019-02-21,1,1898,MY09,672,9.072917,43.837353,129.84822,133.89648,630.6071,623.81976,28.81589,97.08541,101.079384,MY09
2019-02-21,1,1899,MY10,42,3.6190476,17.827778,28.642855,49.43254,257.2619,226.13809,37.75684,61.806507,113.46546,MY10
2019-02-21,1,1900,MY11,31,14.709678,36.13871,124.70968,117.619354,415.19354,380.27957,47.910297,105.78239,109.06198,MY11
2019-02-21,1,1901,MY12,2407,9.037391,59.6462,49.8118,228.70042,619.29126,802.2227,21.71418,23.453873,77.338165,MY12
2019-02-21,1,1902,MY13,4031,58.775986,85.76123,294.08435,313.68314,1033.7075,1109.2164,70.267876,93.85007,93.22314,MY13
